IT8.7/1
ORIGINATOR "Wolf Faust"
DESCRIPTOR "Ektachrome Type 3, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "May 3, 2002"
PROD_DATE "2002:02"
SERIAL "E020429 Batch Average Data without Statistics"
MATERIAL "For Kodak Ektachrome Product Family"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
B6          13.15   10.10    3.56          38.01   24.58   22.99          33.65   43.08
B7          15.91   10.63    2.28          38.94   37.40   34.30          50.75   42.52
B8          19.18   10.76    1.06          39.18   54.01   48.36          72.50   41.84
B9          33.34   34.00   25.05          64.95    2.00    5.17           5.56   68.98
B10         34.43   33.58   21.35          64.62    7.19   11.57          13.63   58.16
B11         36.21   33.63   18.91          64.66   13.05   16.69          21.19   51.97
B12         40.91   34.13   14.77          65.06   26.30   27.06          37.73   45.82
B13         66.82   73.08   65.03          88.49   -7.92   -4.58           9.15   210.04
B14         70.31   69.32   61.35          86.66    7.53   -4.18           8.61   330.98
B15         75.34   78.89   51.60          91.18   -1.46   13.78          13.85   96.06
B16         60.78   63.41   51.91          83.66   -0.86    0.47           1.01   150.05
B17         67.73   67.11   51.91          85.56    6.70    3.73           7.67   29.16
B18         65.59   72.18   54.06          88.05   -8.78    5.71          10.47   146.97
B19         62.37   65.94   61.71          84.97   -2.78   -7.45           7.96   249.56
B20          3.50    2.20    0.45          16.51   25.40   19.99          32.32   38.20
B21          8.83    4.28    0.30          24.58   50.43   36.79          62.42   36.11
B22         31.59   28.60   15.34          60.42   15.26   17.64          23.33   49.15
C1           5.62    5.64    3.11          28.47    2.12    9.61           9.85   77.58
C2           5.96    5.55    1.79          28.24    6.95   20.48          21.63   71.26
C3           6.97    6.02    1.04          29.45   12.39   31.78          34.11   68.70
C4           7.09    5.73    0.26          28.72   16.64   44.59          47.59   69.53
C5          22.19   22.14   10.70          54.17    3.90   19.76          20.14   78.83
C6          24.14   21.89    5.55          53.90   13.82   39.22          41.59   70.59
C7          26.00   21.96    2.71          53.98   21.38   56.61          60.51   69.31
C8          27.56   20.95    0.54          52.89   32.40   81.00          87.24   68.20
C9          39.22   40.36   27.65          69.72    0.93    8.89           8.95   84.02
C10         39.83   40.20   22.86          69.61    3.39   17.22          17.56   78.87
C11         41.84   40.49   18.83          69.81    8.64   25.75          27.16   71.45
C12         45.60   40.49   11.13          69.82   19.64   45.39          49.46   66.60
C13         61.63   69.26   64.57          86.64  -11.68   -7.34          13.80   212.14
C14         62.20   57.99   56.45          80.73   15.09   -9.44          17.80   327.96
C15         73.15   76.91   40.76          90.28   -2.08   25.14          25.23   94.73
C16         44.96   47.02   38.25          74.20   -1.07    0.73           1.32   143.07
C17         55.53   51.40   37.83          76.92   15.47    5.99          16.59   21.19
C18         58.73   66.92   43.17          85.47  -13.51   13.78          19.30   134.42
C19         49.60   52.29   56.53          77.45   -2.18  -15.18          15.34   261.79
C20          2.42    1.91    0.76          14.98   12.81   11.52          17.23   41.95
C21         24.79   20.13    6.66          51.98   24.87   30.79          39.58   51.08
C22         37.87   37.01   22.20          67.29    7.17   14.50          16.18   63.68
D1           3.55    3.86    2.08          23.18   -2.52    8.89           9.25   105.83
D2           3.86    4.10    1.42          24.00   -1.43   17.34          17.40   94.70
D3           3.67    3.91    0.79          23.36   -1.57   25.42          25.47   93.52
D4           3.50    3.83    0.27          23.12   -3.13   34.86          35.00   95.13
D5          16.28   17.60    8.28          49.00   -3.83   19.13          19.52   101.31
D6          16.97   18.09    4.19          49.60   -2.60   39.03          39.12   93.81
D7          16.07   17.50    2.19          48.88   -4.49   52.23          52.43   94.91
D8          15.33   16.05    0.62          47.03   -0.84   69.37          69.37   90.69
D9          44.33   46.29   23.32          73.73   -0.88   23.46          23.48   92.14
D10         44.93   47.39   13.04          74.44   -2.17   47.81          47.86   92.60
D11         44.07   47.59    6.19          74.56   -5.22   71.83          72.02   94.16
D12         43.26   46.40    2.16          73.80   -4.29   95.44          95.53   92.58
D13         58.12   66.63   64.13          85.32  -14.35   -9.19          17.04   212.64
D14         57.43   51.46   53.67          76.95   20.02  -13.01          23.88   326.98
D15         71.41   75.15   32.84          89.47   -2.22   34.73          34.80   93.65
D16         32.35   33.88   27.40          64.86   -1.10    0.94           1.50   137.16
D17         47.69   41.83   27.64          70.75   21.49   10.69          24.00   26.45
D18         53.66   62.80   34.98          83.34  -16.91   21.03          26.99   128.81
D19         40.61   43.21   53.21          71.69   -3.21  -21.59          21.83   261.53
D20         16.28   13.36    4.62          43.29   20.77   25.74          33.08   51.10
D21         25.04   25.21   15.70          57.28    3.15   11.32          11.75   74.45
D22         41.81   42.04   25.98          70.90    3.88   13.78          14.32   74.28
E1           4.84    5.63    3.06          28.46   -7.18    9.94          12.27   125.84
E2           4.50    5.74    2.05          28.73  -12.75   18.79          22.71   124.16
E3           4.54    6.09    1.26          29.64  -16.17   29.15          33.33   119.02
E4           3.77    5.68    0.41          28.59  -22.44   41.63          47.29   118.32
E5          23.74   27.39   14.08          59.33  -11.34   18.96          22.10   120.88
E6          20.39   26.00    8.00          58.04  -21.25   35.76          41.60   120.72
E7          18.50   25.18    4.40          57.25  -27.33   51.00          57.86   118.19
E8          18.99   28.09    2.66          59.97  -36.53   67.35          76.62   118.47
E9          42.00   46.03   31.09          73.56   -7.04    9.98          12.22   125.18
E10         39.42   45.91   23.84          73.48  -14.64   22.08          26.50   123.54
E11         37.27   45.67   18.74          73.33  -20.85   32.01          38.20   123.08
E12         35.87   46.70   12.40          74.00  -28.30   48.84          56.45   120.09
E13         55.11   64.28   63.67          84.12  -16.58  -10.83          19.80   213.15
E14         52.99   45.57   50.92          73.27   24.77  -16.36          29.69   326.55
E15         69.89   73.47   26.67          88.67   -2.03   43.21          43.26   92.69
E16         23.98   25.19   20.17          57.26   -1.34    1.26           1.87   135.58
E17         41.07   33.95   19.84          64.92   27.41   15.16          31.32   28.95
E18         49.18   58.98   28.18          81.28  -19.82   27.93          34.25   125.36
E19         32.94   35.27   49.82          65.96   -3.75  -27.73          27.99   262.29
E20         23.59   16.51    1.13          47.64   38.41   61.96          72.90   58.20
E21         19.76   17.37    3.96          48.73   15.80   38.94          42.03   67.91
E22         31.95   29.23   10.34          60.98   14.20   32.65          35.61   66.50
F1           3.21    4.05    2.71          23.83  -10.88    4.62          11.82   156.98
F2           2.40    3.80    2.41          22.99  -22.05    5.64          22.76   165.64
F3           2.02    3.76    2.12          22.85  -29.57    8.01          30.64   164.84
F4           1.54    4.10    1.46          23.99  -46.57   16.82          49.52   160.15
F5          10.81   13.99    9.39          44.21  -18.41    6.90          19.66   159.46
F6           9.00   14.00    7.63          44.24  -32.86   13.42          35.49   157.79
F7           6.93   13.34    6.35          43.27  -47.56   17.14          50.56   160.18
F8           6.13   14.18    5.61          44.49  -61.22   22.66          65.28   159.69
F9          28.41   33.46   25.48          64.53  -14.38    3.66          14.84   165.70
F10         24.47   31.25   21.52          62.71  -22.76    7.95          24.11   160.74
F11         21.38   30.49   18.81          62.07  -33.88   12.45          36.09   159.82
F12         23.30   36.58   20.92          66.96  -46.17   16.46          49.02   160.38
F13         52.65   62.36   63.36          83.10  -18.50  -12.28          22.20   213.57
F14         49.07   40.48   48.42          69.81   29.32  -19.48          35.20   326.39
F15         68.66   71.97   21.69          87.95   -1.59   51.13          51.15   91.78
F16         16.58   17.43   14.11          48.80   -1.26    0.71           1.48   148.68
F17         35.48   27.48   13.99          59.41   33.23   19.33          38.45   30.18
F18         45.32   55.56   22.84          79.36  -22.29   34.07          40.72   123.19
F19         26.56   28.47   46.36          60.31   -3.57  -33.46          33.66   263.89
F20         28.76   29.04   15.07          60.81    2.95   18.98          19.21   81.15
F21         37.31   35.42   13.32          66.06   10.61   32.61          34.30   71.98
F22         41.43   40.80   19.35          70.03    6.45   25.02          25.85   75.56
G1           2.14    2.67    2.22          18.69   -9.10   -0.10           9.11   180.63
G2           1.91    2.72    2.31          18.88  -15.11   -0.54          15.12   182.06
G3           1.69    2.82    2.47          19.31  -22.24   -1.20          22.28   183.08
G4           1.23    2.96    3.02          19.88  -37.99   -4.53          38.26   186.80
G5          11.59   14.58   12.33          45.05  -16.43   -0.86          16.45   183.00
G6           9.91   14.66   13.24          45.16  -29.39   -3.23          29.57   186.27
G7           7.68   13.37   13.51          43.32  -40.58   -7.13          41.20   189.97
G8           7.16   15.09   15.30          45.76  -56.05   -7.55          56.56   187.67
G9          28.25   33.15   28.57          64.28  -13.94   -2.02          14.09   188.24
G10         25.00   31.84   29.05          63.21  -22.62   -4.65          23.09   191.61
G11         22.37   31.42   30.09          62.85  -32.68   -6.92          33.40   191.96
G12         18.35   31.05   29.85          62.55  -50.99   -7.08          51.48   187.90
G13         50.16   60.37   62.98          82.04  -20.45  -13.75          24.64   213.91
G14         44.99   35.35   45.58          66.02   34.28  -22.68          41.11   326.50
G15         67.50   70.40   17.13          87.19   -0.82   59.49          59.50   90.79
G16         10.89   11.54    9.11          40.48   -1.76    1.44           2.30   139.83
G17         30.12   21.54    9.17          53.53   39.59   23.74          46.16   30.96
G18         41.54   52.05   17.92          77.31  -24.58   40.67          47.52   121.15
G19         21.10   22.47   42.85          54.52   -2.67  -39.17          39.26   266.10
G20         38.81   39.21   18.19          68.90    3.19   25.58          25.78   82.89
G21         37.43   37.25   12.08          67.46    5.00   38.49          38.82   82.59
G22         41.63   39.43    3.07          69.06   11.25   79.88          80.67   81.98
H1           2.34    2.80    2.64          19.21   -7.00   -2.79           7.54   201.73
H2           1.83    2.42    3.43          17.57  -11.20  -11.41          15.99   225.53
H3           1.66    2.37    3.99          17.32  -14.60  -15.42          21.24   226.56
H4           1.42    2.43    5.73          17.58  -22.30  -24.30          32.98   227.46
H5           9.08   10.81   11.61          39.24  -10.66   -8.75          13.80   219.39
H6           8.45   10.99   14.94          39.56  -17.38  -17.33          24.54   224.93
H7           7.18   10.31   18.83          38.38  -24.03  -28.44          37.23   229.80
H8           6.41   10.29   23.85          38.35  -31.71  -38.52          49.89   230.54
H9          30.07   33.25   30.43          64.36   -7.32   -4.87           8.80   213.72
H10         27.52   32.08   33.88          63.41  -13.07  -11.74          17.57   221.92
H11         25.23   31.25   37.09          62.72  -19.49  -17.47          26.18   221.88
H12         24.22   32.05   49.81          63.38  -26.70  -32.16          41.80   230.31
H13         47.80   58.44   62.54          80.98  -22.29  -15.13          26.95   214.17
H14         41.35   30.96   42.86          62.47   38.81  -25.47          46.42   326.72
H15         66.39   68.73   13.23          86.37    0.26   67.86          67.86   89.78
H16          6.94    7.32    5.84          32.51   -1.09    0.94           1.49   138.04
H17         25.47   16.69    5.50          47.87   45.50   29.02          53.97   32.53
H18         38.07   48.63   13.75          75.22  -26.41   47.23          54.11   119.21
H19         16.39   17.22   38.99          48.53   -1.19  -44.51          44.53   268.46
H20         41.67   43.09   18.04          71.61    0.35   30.59          30.59   89.33
H21         35.58   37.83   24.47          67.89   -3.00   11.28          11.68   104.87
H22         35.41   38.86   12.64          68.64   -6.82   38.93          39.52   99.93
I1           3.79    3.96    5.61          23.55   -0.46  -13.42          13.43   268.06
I2           3.95    4.24    8.91          24.46   -2.06  -25.47          25.55   265.38
I3           4.21    4.16   13.51          24.20    2.70  -40.09          40.18   273.86
I4           3.90    3.61   19.62          22.36    6.32  -57.76          58.10   276.24
I5          13.15   14.18   15.38          44.48   -3.36   -9.95          10.51   251.35
I6          12.93   13.51   19.97          43.52   -0.63  -22.00          22.01   268.38
I7          12.88   13.24   24.25          43.12    0.78  -31.04          31.05   271.43
I8          13.18   13.30   35.41          43.20    2.35  -48.77          48.83   272.76
I9          31.34   33.25   31.01          64.36   -2.62   -5.76           6.35   245.65
I10         31.11   32.84   34.59          64.03   -2.03  -11.69          11.88   260.13
I11         30.28   31.61   37.21          63.01   -0.73  -17.14          17.16   267.56
I12         31.84   33.33   48.81          64.42   -1.07  -29.22          29.25   267.89
I13         45.72   56.69   62.03          80.00  -23.91  -16.32          28.95   214.32
I14         38.25   27.40   40.37          59.34   42.64  -27.68          50.84   327.01
I15         65.52   67.27   10.34          85.64    1.47   75.17          75.19   88.88
I16          4.16    4.42    3.50          25.02   -1.46    0.98           1.79   145.46
I17         21.61   12.98    3.20          42.73   50.58   33.56          60.70   33.57
I18         35.04   45.57   10.75          73.27  -27.97   52.52          59.50   118.04
I19         12.89   13.34   35.51          43.27    0.18  -48.81          48.81   270.21
I20         39.85   44.38   18.10          72.48   -8.94   31.95          33.18   105.63
I21         13.83   18.36    4.75          49.92  -22.44   36.45          42.81   121.62
I22         27.19   35.34   18.30          66.01  -25.61   20.34          32.70   141.55
J1           1.09    0.96    1.82           8.65    5.88  -13.54          14.76   293.48
J2           1.37    0.94    3.68           8.51   15.62  -28.67          32.65   298.58
J3           1.59    0.89    6.07           8.02   23.65  -42.39          48.54   299.16
J4           2.27    1.09   11.56           9.74   32.31  -59.49          67.70   298.51
J5           8.00    7.89    9.22          33.76    3.51  -10.54          11.12   288.43
J6           8.53    7.65   13.24          33.25   10.52  -23.77          26.00   293.88
J7           9.26    7.59   17.38          33.12   17.28  -34.31          38.42   296.73
J8          10.79    7.52   26.97          32.96   29.92  -53.34          61.16   299.29
J9          26.67   27.76   26.38          59.67   -0.39   -6.27           6.30   266.43
J10         26.87   27.02   29.47          58.99    3.36  -12.60          13.05   284.91
J11         27.15   25.74   32.18          57.79    9.64  -18.88          21.20   297.03
J12         30.72   27.31   43.83          59.26   17.11  -32.21          36.47   297.97
J13         44.16   55.34   61.57          79.23  -25.08  -17.19          30.41   214.44
J14         35.60   24.45   38.09          56.53   46.06  -29.51          54.71   327.36
J15         64.69   65.81    8.14          84.90    2.80   81.58          81.63   88.04
J16          1.96    2.08    1.67          15.90   -1.11    0.56           1.28   152.81
J17         18.03    9.88    1.66          37.62   54.78   38.05          66.70   34.79
J18         32.77   43.02    8.33          71.56  -28.52   57.85          64.50   116.25
J19         10.30   10.39   32.27          38.52    2.24  -52.25          52.30   272.45
J20         29.71   37.31   25.65          67.51  -22.26    8.51          23.84   159.06
J21          3.28    7.09    1.23          32.00  -44.86   33.48          55.97   143.27
J22          0.48    1.17    0.19          10.32  -25.14   14.13          28.84   150.66
K1           1.97    1.64    1.99          13.45    9.83   -7.04          12.10   324.38
K2           2.45    1.62    2.72          13.35   20.50  -13.54          24.57   326.55
K3           3.28    1.80    4.18          14.39   31.04  -21.60          37.81   325.17
K4           3.99    1.77    5.65          14.23   42.62  -29.70          51.95   325.13
K5           6.59    5.88    6.66          29.09   10.09   -8.70          13.33   319.24
K6           8.43    6.10    9.74          29.65   25.16  -19.40          31.77   322.37
K7          10.62    6.28   13.33          30.10   40.93  -29.44          50.42   324.28
K8          13.46    6.88   18.80          31.52   54.51  -40.22          67.74   323.58
K9          23.27   22.75   22.09          54.80    6.08   -6.81           9.14   311.69
K10         24.81   22.00   24.75          54.02   16.17  -13.15          20.85   320.88
K11         26.62   21.11   27.99          53.06   27.86  -20.41          34.54   323.78
K12         33.12   22.85   37.31          54.91   44.52  -31.24          54.39   324.94
K13         42.63   54.01   61.09          78.47  -26.30  -18.05          31.90   214.46
K14         32.99   21.67   35.77          53.67   49.43  -31.24          58.47   327.71
K15         63.95   64.31    6.20          84.13    4.46   88.26          88.38   87.11
K16          0.81    0.85    0.69           7.66   -0.50    0.14           0.60   158.03
K17         14.16    6.98    0.63          31.76   57.94   42.89          72.08   36.51
K18         30.49   40.35    6.25          69.72  -28.84   63.16          69.43   114.54
K19          8.05    7.86   28.99          33.69    4.39  -55.45          55.63   274.53
K20          3.26    4.32    2.89          24.71  -13.90    4.76          14.69   161.09
K21          1.49    2.22    1.90          16.62  -15.92   -0.57          15.93   182.05
K22          2.18    2.88    3.94          19.57  -11.88  -11.22          16.35   223.36
L1           1.97    1.66    1.56          13.62    8.96   -2.22           9.23   346.08
L2           2.57    1.72    1.77          13.94   20.31   -3.93          20.69   349.05
L3           3.14    1.76    1.94          14.15   29.66   -5.35          30.14   349.77
L4           3.95    1.79    2.19          14.35   41.55   -7.37          42.20   349.95
L5           6.70    5.78    5.21          28.84   12.31   -2.30          12.52   349.42
L6           8.89    6.01    6.07          29.43   30.02   -5.47          30.52   349.69
L7          11.68    6.41    6.76          30.43   47.27   -6.80          47.76   351.81
L8          13.40    6.19    6.71          29.88   61.23   -7.53          61.69   352.99
L9          22.78   22.35   19.11          54.39    5.69   -1.45           5.88   345.74
L10         25.64   22.51   20.01          54.56   17.38   -3.05          17.65   350.04
L11         27.80   22.30   20.53          54.34   27.13   -4.50          27.50   350.58
L12         32.11   22.65   21.24          54.71   41.79   -5.31          42.13   352.75
L13         39.45   51.17   59.75          76.78  -28.74  -19.63          34.80   214.33
L14         27.54   16.28   30.56          47.34   56.24  -34.42          65.93   328.53
L15         61.95   60.51    3.28          82.11    8.54   100.89          101.25   85.16
L16          0.05    0.05    0.03           0.45   -0.01    0.29           0.30   89.89
L17          8.75    3.81    0.04          23.03   56.46   39.00          68.63   34.64
L18         26.32   34.93    3.18          65.70  -27.78   73.29          78.38   110.76
L19          4.59    3.86   21.86          23.21   12.15  -60.84          62.05   281.29
L20          0.43    0.61    0.79           5.52   -6.50   -5.38           8.44   219.64
L21          1.18    1.12    1.39           9.96    3.50   -6.54           7.42   298.19
L22          2.73    2.13    1.96          16.15   13.88   -2.08          14.04   351.48
GS0         77.35   80.29   64.91          91.82   -0.14    1.27           1.28   95.91
GS1         60.60   63.25   51.85          83.57   -0.89    0.38           0.98   155.43
GS2         51.31   53.88   44.67          78.39   -1.67   -0.26           1.69   188.97
GS3         44.57   46.67   38.75          73.98   -1.25   -0.31           1.31   194.33
GS4         37.88   39.74   32.83          69.28   -1.41   -0.05           1.43   182.52
GS5         34.20   35.74   29.31          66.32   -0.92    0.29           0.99   160.84
GS6         28.09   29.53   24.30          61.24   -1.48    0.12           1.50   175.35
GS7         24.40   25.66   21.06          57.71   -1.47    0.22           1.50   170.34
GS8         20.82   21.95   17.86          53.97   -1.68    0.57           1.79   160.78
GS9         17.54   18.54   15.19          50.13   -1.75    0.26           1.78   171.38
GS10        14.08   14.86   12.01          45.44   -1.57    0.74           1.76   153.81
GS11        11.31   11.95    9.66          41.14   -1.51    0.69           1.69   154.76
GS12         9.41   10.00    7.98          37.84   -1.86    1.05           2.15   150.31
GS13         7.60    8.05    6.34          34.09   -1.50    1.32           2.02   137.70
GS14         5.53    5.88    4.57          29.10   -1.53    1.55           2.21   134.42
GS15         4.23    4.47    3.50          25.16   -1.03    1.21           1.63   129.61
GS16         3.06    3.26    2.56          21.06   -1.49    1.10           1.89   143.13
GS17         2.12    2.26    1.78          16.78   -1.18    0.85           1.50   144.18
GS18         1.57    1.69    1.41          13.78   -1.58   -0.22           1.61   187.58
GS19         0.95    1.00    0.82           9.01   -0.71    0.08           0.78   171.50
GS20         0.57    0.61    0.52           5.50   -0.48   -0.30           0.62   205.43
GS21         0.33    0.35    0.27           3.18   -0.48    0.43           0.66   137.27
GS22         0.16    0.17    0.14           1.55   -0.20   -0.03           0.23   192.26
GS23         0.04    0.05    0.03           0.42   -0.03    0.08           0.12   151.55
END_DATA
