IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D50, viewing angle 2, black backing)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "March 15, 2001"
PROD_DATE "2001:03"
SERIAL "5x7 R010315"
MATERIAL "Kodak Professional Digital 3"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
B7          16.96   10.91    2.23          39.43   41.22   35.57          54.44   40.79
B8          20.91   11.19    0.90          39.91   59.45   51.99          78.97   41.17
B9          40.27   39.59   28.84          69.17    6.62    5.95           8.91   41.98
B10         41.79   39.25   25.49          68.93   12.32   11.21          16.67   42.30
B11         44.24   39.56   22.70          69.16   18.60   16.74          25.03   41.99
B12         47.53   39.87   19.41          69.37   26.99   23.72          35.94   41.30
B13         70.39   76.50   68.75          90.09   -7.06   -5.30           8.83   216.88
B14         73.74   72.30   67.50          88.11    8.49   -7.56          11.37   318.32
B15         77.16   81.52   56.78          92.36   -2.87   10.25          10.65   105.65
B16         61.91   64.12   52.92          84.03    0.20   -0.03           0.31   169.24
B17         70.40   69.61   54.12          86.81    7.11    3.47           7.91   26.01
B18         67.51   74.55   55.43          89.18   -9.38    6.17          11.23   146.69
B19         64.59   66.02   65.48          85.01    2.10  -11.03          11.23   280.79
B20          2.51    1.79    0.64          14.36   17.39   12.57          21.46   35.87
B21          8.06    4.71    0.76          25.90   38.01   30.29          48.60   38.55
B22         27.76   23.36   10.91          55.45   22.21   21.29          30.77   43.79
C1           3.92    3.82    2.10          23.06    3.51    8.51           9.22   67.57
C2           4.27    3.93    1.27          23.44    6.97   18.19          19.48   69.02
C3           5.43    4.60    0.89          25.57   12.50   27.41          30.12   65.49
C4           4.37    3.77    0.82          22.88   10.67   24.08          26.34   66.12
C5          22.50   21.34    9.63          53.32    9.02   21.78          23.57   67.50
C6          24.93   21.93    5.24          53.95   17.02   40.81          44.22   67.36
C7          27.73   22.72    2.39          54.78   24.93   60.66          65.59   67.66
C8          27.88   21.87    1.59          53.88   29.42   66.87          73.06   66.25
C9          46.66   46.96   31.82          74.17    3.92    9.86          10.62   68.32
C10         48.48   47.40   26.18          74.44    7.76   19.51          21.00   68.30
C11         50.27   47.56   21.21          74.54   12.15   28.92          31.37   67.21
C12         52.61   47.86   15.99          74.74   17.47   40.70          44.29   66.77
C13         61.19   69.42   66.52          86.71  -13.05   -9.06          15.89   214.77
C14         67.93   62.69   64.11          83.28   16.99  -12.71          21.22   323.19
C15         75.12   79.91   46.89          91.65   -3.91   19.92          20.30   101.11
C16         48.04   49.65   41.03          75.86    0.46   -0.09           0.53   238.49
C17         62.72   58.89   42.62          81.23   14.13    7.16          15.85   26.86
C18         56.62   66.12   44.81          85.06  -16.89   11.05          20.18   146.81
C19         52.16   52.55   60.32          77.61    3.92  -18.79          19.20   281.78
C20          1.50    1.26    0.61          10.97    8.66    7.36          11.36   40.37
C21         22.13   16.49    4.38          47.62   31.91   34.49          46.98   47.23
C22         33.56   30.39   15.77          61.99   15.52   19.25          24.73   51.12
D1           3.61    3.79    2.14          22.97   -0.69    7.94           7.98   94.84
D2           3.66    3.90    1.34          23.33   -1.42   17.13          17.19   94.73
D3           4.40    4.64    0.99          25.68   -0.96   26.03          26.05   92.11
D4           3.52    3.71    0.89          22.67   -0.73   22.47          22.48   91.85
D5          25.19   26.25   12.72          58.28   -0.50   20.82          20.82   91.37
D6          25.16   26.34    7.03          58.35   -0.96   40.18          40.19   91.38
D7          25.33   27.02    3.64          58.99   -3.02   58.63          58.71   92.95
D8          24.76   25.78    2.05          57.82   -0.40   68.90          68.91   90.33
D9          53.27   55.57   37.44          79.36   -0.80   10.72          10.76   94.23
D10         53.45   55.79   29.76          79.49   -0.86   22.26          22.27   92.22
D11         53.21   55.59   23.79          79.38   -1.02   32.32          32.34   91.80
D12         53.32   56.52    5.17          79.91   -3.00   85.89          85.95   92.00
D13         52.61   62.37   63.91          83.11  -18.62  -12.82          22.60   214.54
D14         62.41   54.09   60.59          78.51   25.14  -17.50          30.63   325.16
D15         72.98   77.93   37.56          90.75   -4.45   30.18          30.51   98.39
D16         36.60   37.92   30.87          67.96    0.12    0.64           0.75   70.17
D17         55.64   49.53   32.63          75.78   20.66   11.44          23.62   28.96
D18         46.77   57.82   35.29          80.64  -23.69   15.92          28.54   146.11
D19         41.71   41.32   54.97          70.40    5.74  -25.73          26.37   282.56
D20         12.98    9.81    2.56          37.49   25.67   29.38          39.02   48.86
D21         20.33   19.58   10.71          51.35    7.26   14.86          16.54   63.94
D22         37.20   35.30   18.94          65.98   10.64   18.87          21.67   60.57
E1           3.31    3.81    2.19          23.03   -5.69    7.59           9.49   126.82
E2           3.06    3.86    1.33          23.19  -10.63   17.07          20.11   121.89
E3           3.51    4.69    1.08          25.84  -14.65   25.03          29.00   120.34
E4           2.87    3.74    0.98          22.80  -12.27   21.27          24.55   119.97
E5          11.06   12.66    6.78          42.24   -8.07   13.45          15.69   120.94
E6          10.44   13.21    4.24          43.08  -16.33   27.49          31.98   120.70
E7           9.64   13.78    2.60          43.92  -26.23   40.12          47.93   123.18
E8           8.90   13.11    1.73          42.92  -28.05   46.44          54.25   121.13
E9          36.91   39.73   26.94          69.28   -4.55    9.31          10.36   116.04
E10         34.95   38.88   22.45          68.67   -8.43   16.37          18.41   117.25
E11         33.78   38.85   18.23          68.65  -12.38   25.02          27.92   116.32
E12         29.88   40.16    8.72          69.59  -30.56   53.00          61.18   119.97
E13         44.73   55.41   60.88          79.28  -23.61  -16.47          28.78   214.91
E14         56.59   45.72   56.30          73.36   33.43  -22.01          40.02   326.64
E15         71.17   76.01   29.77          89.86   -4.44   40.14          40.38   96.31
E16         27.04   27.95   22.69          59.84    0.37    0.70           0.91   59.57
E17         48.98   41.06   24.47          70.22   27.34   15.27          31.31   29.19
E18         37.92   49.77   27.34          75.93  -29.92   20.08          36.04   146.13
E19         32.64   31.49   49.22          62.92    8.32  -32.31          33.37   284.43
E20         23.34   15.77    1.19          46.67   41.47   59.43          72.47   55.09
E21         16.35   13.58    2.66          43.63   19.74   39.11          43.80   63.22
E22         28.30   24.26    7.34          56.35   20.45   35.47          40.94   60.03
F1           1.39    1.73    1.22          13.99   -7.55    2.66           8.01   160.58
F2           1.01    1.63    0.94          13.42  -17.55    5.73          18.47   161.92
F3           1.26    2.31    1.23          17.03  -24.72    7.76          25.91   162.58
F4           0.96    1.59    0.88          13.19  -18.11    6.26          19.16   160.94
F5           5.86    7.36    5.09          32.62  -13.01    4.81          13.87   159.71
F6           4.96    7.58    4.37          33.10  -25.71    9.56          27.43   159.60
F7           4.48    8.50    3.81          35.00  -40.06   16.18          43.20   158.01
F8           3.30    7.85    3.14          33.67  -51.71   18.37          54.88   160.44
F9          36.13   39.42   30.88          69.05   -6.12    2.49           6.61   157.88
F10         34.62   39.41   29.70          69.04  -11.19    4.35          12.01   158.77
F11         32.37   38.84   28.14          68.63  -17.29    6.18          18.36   160.33
F12         26.52   38.71   23.81          68.54  -39.23   13.59          41.52   160.90
F13         36.81   48.00   57.20          74.82  -28.76  -20.43          35.28   215.39
F14         51.34   38.57   52.39          68.44   41.32  -26.34          49.00   327.48
F15         69.31   73.77   22.86          88.81   -3.89   50.32          50.47   94.42
F16         18.96   19.72   15.93          51.51   -0.22    0.81           0.89   100.86
F17         42.93   33.74   17.61          64.76   33.71   19.71          39.05   30.32
F18         29.66   41.73   20.55          70.68  -36.12   23.61          43.15   146.83
F19         24.50   22.98   43.22          55.05   10.40  -38.72          40.09   285.03
F20         24.55   23.45   10.62          55.53    8.57   22.34          23.93   69.03
F21         32.21   29.18    9.70          60.94   15.30   34.66          37.89   66.18
F22         36.43   34.00   14.28          64.96   12.50   28.12          30.78   66.03
G1           2.07    2.59    2.29          18.30   -8.92   -1.43           9.04   189.20
G2           1.87    2.78    2.52          19.13  -17.00   -1.96          17.12   186.61
G3           1.77    3.23    3.22          20.95  -27.52   -4.14          27.83   188.57
G4           1.50    2.64    2.65          18.55  -23.94   -4.05          24.28   189.60
G5           7.82    9.62    8.52          37.16  -12.71   -2.20          12.90   189.85
G6           6.87    9.97    9.28          37.80  -24.58   -3.81          24.88   188.80
G7           6.15   10.82   10.19          39.28  -38.51   -4.31          38.75   186.39
G8           4.81   10.14   10.71          38.10  -49.18   -7.98          49.83   189.22
G9          36.12   39.42   33.16          69.05   -6.17   -0.96           6.25   188.88
G10         33.92   39.15   33.72          68.86  -12.81   -2.12          12.99   189.41
G11         31.90   38.93   34.45          68.70  -19.29   -3.45          19.60   190.14
G12         27.17   39.19   36.62          68.89  -38.09   -6.21          38.59   189.27
G13         30.16   41.34   53.37          70.41  -33.05  -23.99          40.84   215.98
G14         46.10   31.97   48.04          63.32   49.09  -30.26          57.67   328.35
G15         67.66   71.57   17.42          87.76   -2.94   59.80          59.88   92.82
G16         12.83   13.36   10.90          43.31   -0.35    0.40           0.62   135.76
G17         37.60   27.59   12.32          59.51   39.82   24.08          46.53   31.17
G18         22.88   34.64   15.23          65.46  -41.58   26.59          49.35   147.41
G19         17.95   16.12   37.36          47.13   13.39  -44.74          46.70   286.66
G20         34.42   32.97   13.45          64.14    9.25   28.90          30.35   72.26
G21         32.94   31.39    8.48          62.83    9.74   42.23          43.34   77.01
G22         46.93   43.72    2.79          72.04   13.85   87.12          88.21   80.97
H1           2.16    2.52    2.87          18.01   -5.60   -6.63           8.69   229.83
H2           2.05    2.66    3.78          18.60  -10.59  -11.87          15.92   228.27
H3           1.91    2.81    5.29          19.29  -16.87  -19.22          25.57   228.72
H4           1.76    2.57    4.73          18.25  -15.93  -18.06          24.09   228.57
H5           8.39    9.70   10.39          37.29   -8.13   -8.36          11.67   225.80
H6           7.77    9.94   13.86          37.74  -15.70  -17.72          23.68   228.45
H7           7.57   10.96   18.76          39.51  -25.18  -26.36          36.45   226.31
H8           6.71   10.52   23.29          38.76  -30.32  -36.79          47.68   230.50
H9          36.46   39.36   35.98          69.01   -4.85   -5.11           7.05   226.54
H10         35.53   39.52   39.60          69.12   -8.46   -9.84          12.98   229.31
H11         33.38   38.71   43.48          68.54  -13.31  -15.79          20.66   229.88
H12         31.36   39.27   52.74          68.95  -22.29  -25.83          34.12   229.21
H13         24.65   35.45   49.54          66.10  -36.54  -27.19          45.54   216.66
H14         41.08   26.13   43.55          58.16   56.58  -33.77          65.89   329.17
H15         65.83   68.97   12.65          86.49   -1.50   69.64          69.66   91.23
H16          8.23    8.53    6.92          35.06    0.06    0.50           0.72   71.56
H17         32.66   22.18    8.01          54.22   45.88   29.15          54.36   32.44
H18         17.40   28.42   10.69          60.27  -46.21   30.29          55.25   146.76
H19         12.97   10.87   32.00          39.37   17.53  -50.41          53.37   289.17
H20         38.93   39.25   14.16          68.93    3.44   35.30          35.47   84.43
H21         29.18   30.26   18.80          61.87    0.03   12.10          12.11   89.81
H22         33.03   35.70   10.16          66.29   -4.83   42.38          42.65   96.50
I1           3.59    3.65    4.82          22.48    1.02  -11.29          11.34   275.14
I2           3.71    3.72    7.59          22.73    1.80  -23.50          23.57   274.38
I3           3.92    3.86   11.07          23.19    2.96  -34.81          34.94   274.86
I4           4.25    3.99   17.96          23.64    5.75  -51.98          52.29   276.31
I5          12.39   12.80   13.56          42.45    0.32   -8.78           8.80   272.11
I6          12.45   12.69   17.67          42.30    1.47  -19.15          19.21   274.38
I7          12.54   12.64   22.31          42.22    2.41  -28.97          29.08   274.74
I8          13.09   13.00   33.61          42.76    3.67  -46.96          47.10   274.47
I9          38.37   39.58   35.93          69.17    0.67   -4.76           4.82   277.79
I10         38.43   39.62   39.74          69.20    0.71   -9.89           9.92   274.08
I11         38.24   39.28   43.68          68.95    1.18  -15.33          15.38   274.40
I12         38.45   39.36   53.65          69.01    1.59  -26.70          26.75   273.40
I13         19.82   29.92   45.45          61.58  -39.33  -30.20          49.59   217.52
I14         36.62   21.37   39.29          53.35   63.17  -36.62          73.02   329.90
I15         64.18   66.44    9.08          85.22    0.27   78.66          78.66   89.80
I16          4.97    5.15    4.20          27.15    0.08    0.28           0.53   145.43
I17         28.59   17.99    5.01          49.49   51.14   34.30          61.58   33.85
I18         12.88   22.87    7.38          54.94  -50.20   32.85          59.99   146.81
I19          9.16    6.99   27.04          31.79   22.13  -55.49          59.74   291.73
I20         39.37   42.81   14.51          71.43   -5.91   38.67          39.12   98.69
I21          9.75   13.52    3.33          43.54  -23.67   34.03          41.45   124.82
I22         25.22   32.87   14.99          64.05  -25.30   24.73          35.38   135.65
J1           1.80    1.60    2.58          13.22    6.68  -12.65          14.31   297.82
J2           2.08    1.61    4.20          13.28   12.91  -23.66          26.95   298.62
J3           2.51    1.67    7.18          13.66   20.35  -37.48          42.65   298.50
J4           3.58    1.79   15.89          14.36   35.92  -63.16          72.66   299.63
J5           9.92    9.68   10.55          37.27    4.66   -8.91          10.06   297.54
J6          10.72    9.77   14.10          37.43   10.14  -18.88          21.43   298.23
J7          11.51    9.76   18.61          37.40   16.06  -29.69          33.75   298.40
J8          13.21    9.47   30.27          36.87   29.85  -52.03          59.99   299.84
J9          39.41   39.69   36.26          69.25    3.62   -5.08           6.24   305.44
J10         40.14   39.57   39.39          69.16    6.26   -9.49          11.37   303.41
J11         40.90   39.33   43.60          68.99    9.34  -15.17          17.82   301.60
J12         42.67   39.24   53.69          68.92   14.99  -26.91          30.80   299.11
J13         15.97   25.13   41.53          57.20  -40.91  -32.90          52.50   218.80
J14         32.70   17.56   35.31          48.96   68.67  -38.73          78.84   330.58
J15         62.33   63.62    6.45          83.77    2.29   86.48          86.51   88.48
J16          2.84    2.94    2.43          19.81    0.04   -0.04           0.43   246.58
J17         25.07   14.66    2.96          45.16   55.50   39.52          68.13   35.45
J18          9.36   18.13    5.00          49.65  -53.14   34.64          63.43   146.90
J19          6.49    4.38   22.70          24.89   27.19  -59.60          65.51   294.52
J20         27.27   35.58   20.13          66.19  -26.07   16.74          30.98   147.30
J21          4.07    7.55    1.46          33.02  -37.17   32.39          49.31   138.94
J22          1.21    1.86    0.81          14.74  -16.26   10.21          19.20   147.86
K1           4.42    3.70    4.36          22.66   12.31   -8.44          14.92   325.59
K2           5.71    3.87    6.40          23.23   25.79  -17.68          31.26   325.57
K3           7.16    4.04    8.94          23.79   38.62  -26.75          46.98   325.30
K4           7.77    4.13   10.17          24.11   43.06  -30.38          52.70   324.79
K5          14.46   13.13   13.31          42.96   11.50   -7.23          13.59   327.87
K6          16.31   13.08   16.49          42.88   22.71  -15.40          27.44   325.85
K7          18.84   13.28   20.39          43.18   35.11  -23.49          42.24   326.21
K8          25.28   13.78   32.78          43.92   61.72  -43.72          75.64   324.69
K9          40.30   39.46   35.52          69.08    7.08   -4.33           8.30   328.59
K10         42.39   39.35   39.15          69.01   13.78   -9.45          16.71   325.58
K11         43.97   38.81   42.23          68.61   20.14  -14.11          24.59   324.98
K12         50.15   39.26   53.04          68.94   35.98  -26.17          44.49   323.97
K13         12.63   20.52   37.36          52.42  -41.02  -35.63          54.33   220.98
K14         28.85   14.23   31.17          44.55   73.40  -40.19          83.69   331.30
K15         60.27   60.50    4.53          82.11    4.63   93.12          93.24   87.16
K16          1.45    1.50    1.31          12.59    0.17   -0.99           1.06   275.68
K17         21.80   11.82    1.63          40.93   59.22   44.06          73.81   36.65
K18          6.50   13.79    3.31          43.93  -54.81   34.83          64.94   147.57
K19          4.56    2.59   18.59          18.31   32.92  -62.54          70.67   297.76
K20          2.10    2.77    1.82          19.08  -11.47    4.37          12.27   159.14
K21          1.32    1.71    1.44          13.87   -9.30   -0.35           9.31   182.18
K22          1.57    2.00    2.50          15.51   -8.95   -8.04          12.04   221.98
L1           3.10    2.53    2.37          18.07   12.21   -2.52          12.47   348.37
L2           3.94    2.57    2.58          18.22   24.75   -4.04          25.08   350.73
L3           5.90    3.46    3.39          21.80   34.10   -3.81          34.32   353.63
L4           4.14    2.58    2.63          18.26   27.32   -4.34          27.66   350.98
L5          11.66    9.93    8.81          37.71   15.74   -2.28          15.91   351.81
L6          14.55   10.40    9.71          38.54   31.11   -3.99          31.36   352.69
L7          17.83   10.73   10.20          39.13   47.25   -4.58          47.47   354.47
L8          22.23   11.03   11.64          39.63   66.83   -8.22          67.33   352.99
L9          40.42   39.11   33.02          68.83    8.55   -1.14           8.63   352.48
L10         42.57   39.09   33.87          68.82   15.12   -2.41          15.31   350.95
L11         45.21   39.29   34.89          68.96   22.23   -3.64          22.53   350.70
L12         50.00   40.16   36.37          69.59   32.78   -4.66          33.11   351.91
L13          8.80   14.24   31.22          44.57  -35.93  -40.24          53.95   228.24
L14         24.79   11.23   26.52          39.97   76.66  -40.50          86.70   332.15
L15         56.46   54.83    2.69          78.94    9.05   99.76          100.17   84.81
L16          0.52    0.56    0.51           5.03   -0.51   -0.89           1.04   239.64
L17         18.21    9.16    0.65          36.28   61.48   50.38          79.49   39.33
L18          3.42    8.15    1.64          34.29  -52.50   32.51          61.75   148.23
L19          2.95    1.30   13.89          11.30   38.64  -63.35          74.21   301.38
L20          0.54    0.61    0.64           5.48   -1.64   -2.64           3.12   238.21
L21          0.86    0.79    0.84           7.11    3.97   -3.56           5.33   318.10
L22          1.64    1.29    1.23          11.19   11.32   -2.28          11.55   348.64
GS0         79.91   83.30   70.64          93.14   -0.80   -1.74           1.92   245.26
GS1         66.91   69.11   57.03          86.56    0.61   -0.02           0.65   160.30
GS2         58.71   60.99   50.39          82.37   -0.23   -0.08           0.37   201.81
GS3         51.22   53.07   43.97          77.91    0.14   -0.24           0.40   237.13
GS4         45.18   46.61   38.57          73.94    0.70   -0.16           0.76   190.67
GS5         39.73   41.12   33.40          70.26    0.23    0.77           0.87   72.07
GS6         33.63   34.82   28.60          65.61    0.18    0.20           0.43   100.12
GS7         28.96   29.91   24.51          61.58    0.48    0.30           0.75   163.86
GS8         24.51   25.46   20.57          57.52   -0.18    0.88           0.97   93.80
GS9         20.53   21.41   17.24          53.40   -0.57    0.96           1.17   118.77
GS10        16.95   17.57   13.98          48.97    0.05    1.34           1.42   85.28
GS11        13.88   14.37   11.61          44.76    0.17    0.72           0.86   74.80
GS12        11.15   11.64    9.63          40.65   -0.57   -0.10           0.74   213.06
GS13         8.98    9.34    7.63          36.63   -0.18    0.30           0.62   115.19
GS14         7.03    7.29    5.97          32.46    0.03    0.22           0.47   113.56
GS15         5.41    5.61    4.61          28.39    0.08    0.07           0.54   226.18
GS16         4.14    4.29    3.59          24.60    0.11   -0.35           0.65   268.15
GS17         3.08    3.19    2.68          20.79    0.02   -0.39           0.66   257.94
GS18         2.21    2.29    1.99          16.96    0.03   -0.97           1.10   266.26
GS19         1.58    1.62    1.44          13.36    0.34   -1.27           1.35   283.18
GS20         1.09    1.11    0.90           9.89    0.59    0.21           0.71   149.59
GS21         0.90    0.91    0.70           8.22    0.98    0.99           1.43   46.29
GS22         0.60    0.63    0.54           5.70   -0.20   -0.25           0.37   233.99
GS23         0.51    0.53    0.50           4.82   -0.37   -1.17           1.23   252.52
END_DATA
