IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "October 20,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
B07      18.07   11.69    2.48   40.70   41.76   35.59   54.86   40.44
B08      20.07   11.58    1.62   40.53   52.64   43.57   68.33   39.62
B09      44.84   43.28   33.24   71.74    9.22    3.54    9.88   21.01
B10      46.28   43.52   30.05   71.91   12.64    8.71   15.35   34.58
B11      47.30   42.94   26.51   71.51   17.18   13.87   22.08   38.92
B12      50.16   43.43   23.58   71.85   23.52   19.71   30.69   39.96
B13      71.18   75.40   61.87   89.58   -3.12    0.29    3.14  174.70
B14      73.57   74.92   61.75   89.36    2.83    0.02    2.83    0.46
B15      74.70   77.73   58.60   90.66   -0.44    5.41    5.43   94.69
B16      68.94   71.58   57.42   87.77   -0.10    1.63    1.63   93.56
B17      72.57   73.99   57.42   88.92    2.65    3.61    4.48   53.73
B18      70.33   74.64   57.59   89.22   -3.41    3.97    5.24  130.69
B19      69.01   71.54   60.83   87.75    0.13   -1.85    1.85  273.95
B20      49.19   49.08   32.59   75.50    5.18   10.99   12.15   64.76
B21      57.37   55.66   36.31   79.42    9.32   12.36   15.48   52.99
B22      52.96   49.46   32.12   75.74   14.12   12.11   18.60   40.62
C01       5.55    5.25    2.60   27.44    5.78   11.72   13.07   63.76
C02       5.91    5.26    1.47   27.46    9.76   22.65   24.66   66.69
C03       6.27    5.18    0.89   27.23   14.74   30.25   33.65   64.03
C04       6.30    5.17    0.89   27.19   15.20   30.22   33.82   63.30
C05      27.62   25.06   11.94   57.13   14.43   21.10   25.56   55.63
C06      28.31   24.37    5.79   56.45   20.07   42.44   46.94   64.69
C07      30.26   25.07    2.46   57.14   24.56   64.05   68.60   69.02
C08      29.59   23.81    1.67   55.89   27.41   69.49   74.70   68.47
C09      51.52   50.89   36.85   76.61    6.60    6.77    9.45   45.74
C10      52.15   50.00   30.80   76.07   10.58   14.71   18.12   54.26
C11      52.78   49.90   24.90   76.01   12.49   24.47   27.47   62.96
C12      54.34   50.00   20.09   76.07   16.21   33.86   37.54   64.41
C13      62.64   69.01   59.98   86.51   -8.75   -3.14    9.30  199.73
C14      68.19   65.86   59.21   84.92   10.51   -5.10   11.68  334.12
C15      72.56   75.68   49.96   89.71   -0.79   13.02   13.05   93.46
C16      54.98   56.84   46.36   80.09    0.48    0.60    0.77   51.76
C17      64.67   62.51   45.79   83.18   10.23    6.61   12.18   32.87
C18      59.89   66.40   46.84   85.20   -9.54    8.85   13.01  137.16
C19      55.90   56.81   56.37   80.07    2.87  -10.55   10.94  285.21
C20      55.36   55.59   38.85   79.38    4.51    8.82    9.91   62.91
C21      51.16   49.29   35.13   75.63    9.88    7.50   12.40   37.22
C22      59.39   55.15   38.31   79.12   15.46    9.12   17.95   30.52
D01       5.16    5.31    2.61   27.57    0.52   11.89   11.90   87.49
D02       5.18    5.33    1.45   27.65    0.42   23.27   23.27   88.96
D03       5.16    5.24    0.95   27.38    1.37   29.64   29.67   87.35
D04       5.23    5.29    0.95   27.54    1.50   29.86   29.90   87.12
D05      31.09   30.78   15.53   62.32    5.31   20.41   21.09   75.42
D06      30.49   30.39    7.97   61.98    4.54   42.70   42.94   83.93
D07      30.04   30.04    3.26   61.69    4.15   65.82   65.95   86.39
D08      30.03   31.15    2.79   62.63    0.04   70.89   70.89   89.97
D09      57.88   59.27   42.30   81.44    1.86    7.90    8.11   76.78
D10      57.43   58.95   35.16   81.26    1.51   17.17   17.24   84.99
D11      55.90   57.53   27.63   80.47    1.13   27.44   27.46   87.64
D12      55.16   56.95   21.68   80.15    0.68   37.66   37.67   88.97
D13      52.94   61.34   57.63   82.56  -15.35   -7.56   17.11  206.22
D14      62.35   56.45   56.14   79.87   19.22  -10.67   21.98  330.97
D15      70.44   73.39   40.65   88.63   -0.61   22.42   22.43   91.57
D16      41.11   42.43   35.18   71.16    0.65   -0.28    0.71  336.82
D17      56.52   51.18   34.73   76.79   18.57   10.06   21.12   28.46
D18      48.05   56.41   36.08   79.84  -16.67   13.43   21.40  141.16
D19      43.01   42.85   50.94   71.45    5.15  -19.56   20.23  284.73
D20      44.39   43.72   24.68   72.04    6.65   18.02   19.20   69.74
D21      40.05   37.76   20.88   67.84   11.73   18.03   21.51   56.96
D22      47.60   42.77   24.55   71.39   18.53   17.15   25.25   42.78
E01       4.79    5.36    2.63   27.72   -4.67   11.98   12.86  111.29
E02       4.62    5.54    1.58   28.21   -8.94   22.70   24.40  111.49
E03       3.96    5.07    0.99   26.93  -12.52   28.28   30.93  113.88
E04       3.96    5.06    0.99   26.91  -12.52   28.28   30.92  113.88
E05      14.90   16.25    8.80   47.29   -4.54   14.31   15.01  107.59
E06      13.28   15.73    4.88   46.62  -11.66   30.03   32.21  111.23
E07      12.36   16.42    2.50   47.52  -21.66   47.15   51.88  114.67
E08      12.32   17.03    2.20   48.29  -25.24   51.13   57.02  116.27
E09      43.26   44.49   33.65   72.55    1.12    4.33    4.48   75.47
E10      42.55   44.80   28.41   72.76   -1.87   12.83   12.97   98.29
E11      39.37   43.39   22.31   71.82   -7.55   22.07   23.33  108.89
E12      38.36   43.23   17.98   71.71  -10.29   30.87   32.54  108.43
E13      42.93   52.79   54.37   77.75  -22.24  -12.45   25.49  209.23
E14      55.60   46.46   51.99   73.84   28.97  -16.60   33.39  330.18
E15      67.73   70.04   30.05   87.02    0.49   34.78   34.78   89.19
E16      28.04   29.07   24.18   60.84    0.08   -0.37    0.38  281.46
E17      47.79   40.09   23.48   69.53   27.08   15.90   31.40   30.43
E18      36.10   45.29   24.82   73.08  -23.57   19.56   30.63  140.32
E19      31.18   30.29   44.39   61.90    7.46  -28.40   29.36  284.71
E20      38.22   37.89   24.72   67.93    5.54   10.87   12.20   62.99
E21      44.65   42.87   27.38   71.46    9.88   12.33   15.80   51.28
E22      41.95   38.41   23.63   68.32   15.47   13.54   20.56   41.20
F01       1.80    2.33    1.51   17.13  -10.16    4.43   11.09  156.46
F02       1.54    2.51    1.38   17.94  -20.41    7.32   21.69  160.26
F03       1.70    2.88    1.19   19.53  -23.14   12.62   26.36  151.39
F04       1.71    2.92    1.19   19.69  -23.44   12.83   26.73  151.30
F05       7.94    9.62    6.65   37.14  -11.53    5.23   12.66  155.62
F06       6.74    9.82    5.51   37.50  -24.72   11.12   27.11  155.77
F07       5.38    9.62    4.38   37.16  -38.01   16.47   41.42  156.57
F08       4.29    9.37    3.68   36.67  -49.83   19.90   53.66  158.23
F09      43.91   45.64   38.41   73.31   -0.23   -1.05    1.07  257.87
F10      40.95   44.66   36.27   72.67   -6.31    0.77    6.36  173.02
F11      38.95   44.58   34.87   72.61  -12.31    2.67   12.59  167.78
F12      36.09   43.43   33.03   71.85  -18.26    4.04   18.70  167.52
F13      34.80   45.26   50.97   73.06  -27.88  -16.82   32.56  211.10
F14      49.86   38.71   48.08   68.54   36.99  -21.34   42.70  330.01
F15      65.28   66.75   22.38   85.38    2.14   45.33   45.38   87.30
F16      19.22   20.05   16.76   51.88   -0.53   -0.54    0.76  225.20
F17      41.14   32.20   16.35   63.51   33.76   20.48   39.49   31.25
F18      27.38   36.56   17.35   66.94  -28.82   24.07   37.55  140.14
F19      22.68   21.46   38.54   53.44    9.34  -35.49   36.70  284.75
F20      44.44   43.81   31.34   72.10    6.53    7.03    9.59   47.12
F21      40.25   38.22   27.02   68.18   10.87    7.26   13.07   33.73
F22      46.94   42.51   29.57   71.22   17.45    8.30   19.33   25.44
G01       2.95    3.67    3.14   22.55   -9.89   -0.77    9.92  184.47
G02       2.22    3.50    3.29   21.95  -21.29   -2.86   21.48  187.64
G03       2.37    4.15    3.91   24.16  -27.80   -3.11   27.97  186.38
G04       2.38    4.18    3.95   24.26  -27.91   -3.18   28.09  186.51
G05      10.73   12.85   11.11   42.53  -11.81   -1.60   11.91  187.74
G06       9.29   12.83   12.07   42.49  -22.92   -4.53   23.36  191.17
G07       7.47   12.55   12.44   42.06  -37.13   -6.34   37.66  189.68
G08       6.54   12.99   13.57   42.74  -49.32   -8.30   50.01  189.55
G09      43.81   45.71   39.30   73.35   -0.71   -2.17    2.28  251.97
G10      39.88   44.19   39.12   72.35   -8.27   -3.64    9.04  203.78
G11      38.48   44.84   39.96   72.79  -14.54   -4.01   15.08  195.42
G12      36.37   44.79   40.88   72.75  -21.23   -5.28   21.88  193.95
G13      28.39   38.94   47.56   68.71  -32.43  -20.44   38.33  212.23
G14      44.14   31.52   43.77   62.94   45.14  -25.84   52.01  330.21
G15      62.64   62.92   15.44   83.40    4.66   56.98   57.17   85.32
G16      12.65   13.13   10.60   42.95   -0.07    0.72    0.72   95.73
G17      35.26   25.64   10.96   57.69   39.99   25.00   47.16   32.01
G18      20.91   29.61   11.96   61.32  -32.87   28.24   43.34  139.33
G19      16.49   15.02   33.31   45.66   11.79  -41.54   43.18  285.84
G20      35.07   34.35   18.46   65.24    6.76   18.66   19.84   70.09
G21      28.64   26.45   13.25   58.46   12.69   19.66   23.40   57.17
G22      38.24   33.57   17.70   64.62   19.92   19.27   27.71   44.05
H01       3.22    3.72    3.98   22.69   -5.72   -6.07    8.34  226.71
H02       2.75    3.64    5.20   22.43  -12.86  -13.32   18.51  226.01
H03       2.58    3.84    6.72   23.12  -19.06  -19.22   27.07  225.25
H04       2.63    3.90    6.96   23.33  -19.03  -19.90   27.53  226.28
H05      11.49   12.86   14.00   42.54   -6.33   -9.78   11.65  237.06
H06      10.49   13.12   17.52   42.94  -15.33  -17.71   23.42  229.11
H07       9.19   12.84   21.47   42.52  -23.88  -26.81   35.90  228.30
H08       7.39   12.22   24.22   41.57  -35.73  -33.69   49.10  223.32
H09      43.98   45.49   41.57   73.22    0.39   -5.36    5.37  274.20
H10      40.90   43.83   43.30   72.12   -4.08   -9.44   10.28  246.63
H11      38.87   44.00   46.47   72.22  -10.89  -13.09   17.03  230.26
H12      36.96   43.68   49.86   72.01  -16.11  -17.39   23.70  227.18
H13      23.21   33.50   44.32   64.56  -36.19  -23.71   43.27  213.23
H14      39.79   26.45   40.27   58.46   51.33  -29.12   59.01  330.43
H15      60.52   59.70   10.96   81.67    7.15   66.35   66.74   83.85
H16       8.31    8.69    6.92   35.36   -0.56    1.04    1.19  118.43
H17      30.92   21.04    7.78   52.99   44.89   27.92   52.87   31.88
H18      16.02   24.22    8.82   56.30  -36.77   29.74   47.30  141.03
H19      12.12   10.64   29.06   38.95   13.63  -46.52   48.47  286.33
H20      26.37   26.00   15.85   58.04    5.47   12.24   13.40   65.93
H21      36.39   34.13   21.24   65.06   11.97   12.54   17.33   46.32
H22      30.50   26.87   15.78   58.85   18.04   13.82   22.73   37.45
I01       5.25    5.32    6.89   27.62    1.43  -12.17   12.26  276.71
I02       5.37    5.40   10.15   27.83    2.00  -23.89   23.97  274.78
I03       5.36    5.45   13.73   27.97    1.27  -34.19   34.22  272.12
I04       4.83    5.11   16.89   27.05   -1.28  -43.67   43.69  268.32
I05      15.96   16.11   17.59   47.12    2.48  -10.67   10.95  283.09
I06      16.78   16.70   23.05   47.87    3.83  -20.63   20.99  280.50
I07      16.72   16.81   27.07   48.02    2.88  -27.59   27.74  275.95
I08      16.05   16.52   30.99   47.65    0.71  -34.59   34.60  271.18
I09      44.20   43.84   40.33   72.12    5.76   -5.65    8.06  315.56
I10      43.85   43.72   42.70   72.04    5.07   -8.81   10.16  299.90
I11      43.69   43.95   46.38   72.20    3.94  -13.04   13.62  286.81
I12      43.80   43.99   49.82   72.22    4.13  -16.97   17.47  283.68
I13      19.58   29.45   41.62   61.18  -38.75  -26.18   46.76  214.04
I14      35.96   22.35   37.06   54.39   56.54  -31.85   64.89  330.61
I15      58.43   56.65    7.91   79.98    9.48   73.96   74.56   82.70
I16       5.57    5.82    4.53   28.95   -0.48    1.49    1.56  107.79
I17      27.37   17.57    5.39   48.96   48.60   31.47   57.90   32.93
I18      12.60   20.15    6.41   52.00  -39.36   31.91   50.67  140.97
I19       9.22    7.67   25.59   33.28   16.23  -50.45   53.00  287.84
I20      33.22   33.51   23.06   64.57    3.27    8.14    8.77   68.12
I21      27.35   26.01   17.80   58.04    9.38    7.70   12.14   39.39
I22      38.17   34.20   23.69   65.12   17.51    7.92   19.22   24.33
J01       2.58    2.28    3.60   16.88    7.83  -13.70   15.78  299.74
J02       3.08    2.36    5.96   17.24   15.32  -25.98   30.16  300.52
J03       3.47    2.40    9.35   17.47   20.81  -39.07   44.27  298.04
J04       3.75    2.41   12.91   17.49   25.07  -50.03   55.96  296.62
J05      13.26   12.72   13.77   42.34    6.60   -9.53   11.59  304.72
J06      14.18   12.78   17.74   42.43   12.07  -19.08   22.58  302.32
J07      14.81   12.69   22.27   42.28   16.56  -28.77   33.20  299.93
J08      15.90   12.87   26.95   42.56   21.77  -36.80   42.75  300.61
J09      44.11   43.15   38.96   71.66    7.47   -4.64    8.80  328.18
J10      43.79   42.52   40.57   71.23    8.39   -7.51   11.26  318.19
J11      44.56   42.81   44.79   71.42    9.80  -12.46   15.85  308.18
J12      46.41   43.93   49.13   72.18   11.80  -16.26   20.09  305.95
J13      16.23   25.49   38.68   57.55  -40.96  -28.59   49.95  214.92
J14      32.24   18.63   33.69   50.25   61.52  -34.18   70.38  330.94
J15      56.32   53.52    5.51   78.18   12.07   81.26   82.15   81.55
J16       3.46    3.62    2.79   22.36   -0.42    1.51    1.57  105.56
J17      23.94   14.41    3.62   44.82   52.15   34.31   62.42   33.35
J18       9.61   16.40    4.58   47.49  -41.82   33.18   53.38  141.57
J19       6.34    5.22   19.98   27.33   15.01  -49.97   52.17  286.72
J20      21.93   20.51    9.66   52.40   10.41   20.11   22.64   62.64
J21      17.70   15.72    6.86   46.59   14.36   20.63   25.14   55.16
J22      24.36   20.57    9.50   52.47   20.97   20.76   29.51   44.72
K01       6.08    4.99    6.01   26.69   14.99   -9.92   17.97  326.51
K02       7.49    4.97    8.35   26.63   29.59  -19.68   35.53  326.37
K03       8.73    5.01   11.03   26.76   40.16  -28.54   49.27  324.60
K04       8.99    5.13   11.50   27.10   40.95  -29.38   50.40  324.34
K05      17.59   15.74   16.20   46.63   13.66   -8.28   15.97  328.78
K06      20.70   16.36   20.44   47.44   25.96  -16.25   30.62  327.96
K07      22.68   16.03   24.45   47.01   37.07  -24.71   44.56  326.31
K08      25.29   16.03   28.43   47.01   48.48  -31.59   57.86  326.91
K09      44.72   42.50   38.56   71.21   11.17   -4.88   12.19  336.39
K10      45.88   42.22   40.43   71.02   15.29   -7.67   17.10  333.36
K11      48.32   43.12   44.64   71.63   19.49  -11.91   22.84  328.56
K12      48.83   41.94   46.73   70.83   24.33  -15.80   29.01  327.00
K13      12.85   21.21   35.13   53.18  -42.75  -31.22   52.94  216.14
K14      28.54   15.30   30.18   46.04   65.89  -36.11   75.13  331.28
K15      53.41   49.45    3.49   75.73   15.30   88.46   89.77   80.19
K16       1.87    1.98    1.50   15.39   -1.07    1.60    1.93  123.67
K17      20.64   11.67    2.13   40.68   54.82   38.60   67.05   35.15
K18       6.90   12.60    2.79   42.15  -43.05   35.60   55.86  140.41
K19       4.91    3.47   18.72   21.85   22.17  -56.75   60.92  291.34
K20      16.72   15.69    8.18   46.56    9.18   15.31   17.85   59.06
K21      23.31   21.00   11.31   52.95   14.33   15.77   21.30   47.74
K22      17.94   15.43    8.23   46.21   17.33   14.50   22.59   39.92
L01       4.19    3.38    3.06   21.50   14.16   -2.04   14.30  351.82
L02       5.07    3.31    3.43   21.23   26.79   -5.07   27.27  349.28
L03       7.19    4.38    4.93   24.89   34.19   -7.65   35.04  347.39
L04       7.14    4.35    5.05   24.78   34.12   -8.46   35.15  346.08
L05      14.55   12.41   11.42   41.85   16.81   -3.69   17.21  347.63
L06      17.45   12.25   12.31   41.61   34.50   -6.75   35.15  348.92
L07      19.75   11.78   13.58   40.86   49.63  -11.58   50.97  346.87
L08      22.56   11.87   14.25   41.01   62.40  -13.09   63.76  348.15
L09      44.78   42.50   35.92   71.21   11.34   -1.25   11.41  353.70
L10      46.34   42.24   37.11   71.03   16.55   -3.20   16.86  349.04
L11      49.10   43.13   39.20   71.64   21.56   -4.99   22.13  346.97
L12      51.00   42.45   39.48   71.18   28.64   -6.15   29.29  347.87
L13      10.02   17.26   31.35   48.58  -43.25  -33.55   54.74  217.80
L14      25.26   12.66   26.90   42.24   68.94  -37.27   78.37  331.60
L15      49.73   44.74    2.19   72.72   18.62   93.32   95.16   78.72
L16       0.93    1.01    0.77    9.05   -1.72    1.11    2.05  147.18
L17      17.47    9.32    1.09   36.59   56.27   43.33   71.02   37.60
L18       4.58    9.01    1.57   36.01  -43.04   36.29   56.30  139.87
L19       3.52    2.22   15.48   16.58   25.46  -58.35   63.66  293.58
L20      22.55   21.29   13.23   53.26    9.52   10.77   14.37   48.53
L21      17.89   15.99    9.70   46.95   13.83   10.57   17.41   37.41
L22      24.60   21.05   13.48   53.00   19.74    9.62   21.96   25.99
Dmin     75.40   78.35   62.17   90.94   -0.23    2.34    2.35   95.62
GS1      68.02   70.63   56.61   87.30   -0.13    1.67    1.68   94.32
GS2      62.10   64.32   52.03   84.13    0.26    1.09    1.12   76.75
GS3      54.51   56.31   46.07   79.79    0.61    0.42    0.74   34.46
GS4      48.02   49.53   40.85   75.78    0.79   -0.02    0.79  358.91
GS5      42.50   43.79   36.39   72.09    0.89   -0.40    0.98  335.70
GS6      36.40   37.53   31.53   67.67    0.74   -0.90    1.17  309.41
GS7      31.28   32.30   27.26   63.59    0.55   -1.06    1.20  297.53
GS8      25.76   26.67   22.38   58.66    0.25   -0.76    0.80  287.98
GS9      22.42   23.30   19.65   55.38   -0.17   -0.91    0.93  259.77
GS10     19.03   19.81   16.72   51.61   -0.28   -0.91    0.95  252.74
GS11     15.91   16.52   13.74   47.64   -0.04   -0.31    0.32  263.63
GS12     13.47   13.93   11.51   44.13    0.26   -0.05    0.27  348.77
GS13     10.77   11.18    9.15   39.88   -0.07    0.25    0.26  105.23
GS14      8.97    9.35    7.58   36.65   -0.37    0.55    0.66  124.37
GS15      7.20    7.52    6.02   32.95   -0.48    0.86    0.98  119.14
GS16      5.80    6.06    4.75   29.54   -0.41    1.30    1.37  107.51
GS17      4.52    4.73    3.65   25.94   -0.48    1.62    1.69  106.59
GS18      3.41    3.56    2.76   22.15   -0.38    1.38    1.43  105.38
GS19      2.40    2.51    1.96   17.97   -0.43    1.11    1.19  110.95
GS20      1.79    1.90    1.43   14.97   -1.12    1.64    1.98  124.23
GS21      1.18    1.28    0.96   11.10   -1.70    1.41    2.21  140.23
GS22      0.70    0.77    0.62    6.92   -1.31    0.28    1.34  167.95
Dmax      0.70    0.76    0.61    6.85   -1.30    0.34    1.34  165.31
END_DATA
