IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "July 20,2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "2000:06"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
B07      18.19   11.76    2.41   40.83   41.86   36.35   55.44   40.97
B08      20.42   11.54    1.22   40.48   54.63   48.24   72.87   41.45
B09      44.98   43.62   33.17   71.97    8.63    4.05    9.53   25.12
B10      45.93   42.38   28.97   71.13   14.99    9.10   17.54   31.26
B11      47.77   42.30   26.73   71.08   20.35   12.75   24.01   32.07
B12      49.39   42.38   24.59   71.13   24.53   16.62   29.63   34.12
B13      73.81   77.85   67.12   90.71   -2.51   -2.76    3.73  227.79
B14      75.53   76.72   66.79   90.19    3.26   -3.36    4.68  314.18
B15      76.77   79.94   63.16   91.66   -0.57    2.63    2.69  102.14
B16      71.21   73.71   61.85   88.79    0.36   -1.07    1.12  288.52
B17      74.32   75.73   61.74   89.74    2.74    0.69    2.83   14.05
B18      72.79   77.20   62.10   90.41   -3.34    1.50    3.66  155.79
B19      71.49   73.75   66.03   88.81    0.86   -5.04    5.11  279.69
B20      54.31   54.87   36.43   78.97    3.66   11.42   11.99   72.25
B21      62.14   61.35   42.46   82.56    7.08    9.64   11.96   53.69
B22      56.69   53.68   36.41   78.27   12.59   10.24   16.23   39.12
C01       4.82    4.66    2.55   25.74    4.24    9.19   10.12   65.25
C02       5.07    4.59    1.42   25.53    8.35   20.00   21.68   67.33
C03       5.41    4.49    0.87   25.24   13.65   27.24   30.47   63.39
C04       5.55    4.58    0.86   25.48   14.32   27.74   31.22   62.69
C05      24.94   23.83   11.69   55.91    8.63   19.72   21.52   66.38
C06      27.42   24.09    6.47   56.18   17.71   38.83   42.68   65.48
C07      29.32   23.39    2.45   55.47   28.22   61.27   67.45   65.27
C08      30.23   23.76    1.84   55.84   30.05   67.52   73.90   66.01
C09      52.08   52.20   36.63   77.40    4.67    8.43    9.64   61.01
C10      52.84   51.59   29.91   77.04    8.20   17.78   19.58   65.24
C11      53.78   50.99   24.62   76.68   12.18   26.13   28.82   65.01
C12      54.05   50.16   19.46   76.17   15.05   35.33   38.40   66.93
C13      65.13   71.47   65.09   87.71   -8.26   -6.03   10.23  216.11
C14      69.83   67.19   63.87   85.60   11.15   -8.52   14.03  322.63
C15      74.47   78.21   53.12   90.87   -1.85   11.54   11.68   99.10
C16      56.60   58.51   49.11   81.02    0.53   -1.01    1.14  297.73
C17      65.78   63.75   48.41   83.84    9.90    4.67   10.94   25.24
C18      61.99   69.21   49.89   86.61  -10.68    7.74   13.19  144.07
C19      57.90   58.40   60.95   80.96    3.96  -13.67   14.23  286.14
C20      60.96   61.74   45.19   82.77    3.46    6.62    7.47   62.40
C21      55.71   54.42   39.10   78.70    8.30    7.33   11.07   41.44
C22      64.40   62.59   47.45   83.18    9.50    4.73   10.61   26.44
D01       4.53    4.71    2.66   25.89   -0.12    8.57    8.57   90.78
D02       4.43    4.60    1.51   25.57   -0.06   18.91   18.91   90.17
D03       4.45    4.59    0.94   25.52    0.34   26.52   26.52   89.26
D04       4.48    4.64    0.95   25.67    0.09   26.67   26.67   89.81
D05      28.61   29.50   16.16   61.22    0.70   16.98   16.99   87.64
D06      28.06   29.49    8.71   61.21   -1.40   38.60   38.63   92.08
D07      27.96   29.89    4.10   61.56   -3.31   60.22   60.31   93.14
D08      27.25   28.74    3.07   60.55   -1.80   65.24   65.26   91.58
D09      59.85   62.16   44.46   83.00   -0.14    7.90    7.90   91.03
D10      58.87   61.43   34.21   82.61   -0.81   20.85   20.87   92.22
D11      58.07   61.03   27.78   82.39   -1.79   30.48   30.53   93.37
D12      57.12   60.24   20.04   81.97   -2.28   44.11   44.17   92.96
D13      54.83   63.42   62.39   83.66  -15.26  -10.42   18.48  214.33
D14      63.53   57.12   60.22   80.25   20.31  -14.18   24.76  325.08
D15      72.15   76.23   42.21   89.97   -2.76   22.72   22.88   96.94
D16      41.46   42.98   35.87   71.54    0.13   -0.62    0.63  282.08
D17      56.65   51.51   34.90   76.98   18.05   10.16   20.71   29.37
D18      49.00   58.70   36.94   81.13  -19.57   14.43   24.32  143.61
D19      43.92   43.24   54.49   71.72    6.68  -22.98   23.93  286.22
D20      47.81   47.06   26.31   74.23    6.87   18.91   20.12   70.03
D21      42.45   40.03   22.39   69.49   11.94   17.89   21.51   56.27
D22      50.22   45.42   26.20   73.17   17.99   17.27   24.94   43.83
E01       4.17    4.71    2.71   25.87   -4.94    8.11    9.49  121.37
E02       3.78    4.59    1.56   25.50   -9.05   18.32   20.43  116.30
E03       3.49    4.66    1.03   25.73  -14.48   25.54   29.36  119.55
E04       3.50    4.69    1.04   25.80  -14.62   25.58   29.46  119.75
E05      13.42   15.18    8.64   45.87   -7.54   12.40   14.51  121.29
E06      12.31   15.41    5.46   46.20  -16.30   26.32   30.96  121.76
E07      11.07   15.21    2.98   45.92  -23.84   40.67   47.14  120.38
E08      10.85   14.96    2.33   45.58  -24.04   45.25   51.24  117.98
E09      42.28   45.21   33.73   73.03   -3.84    5.05    6.34  127.25
E10      39.43   44.03   26.90   72.25   -9.21   14.48   17.16  122.47
E11      37.59   44.02   21.59   72.25  -15.06   24.20   28.50  121.89
E12      35.30   42.94   16.45   71.51  -19.47   34.02   39.20  119.78
E13      44.27   54.37   58.71   78.68  -22.31  -15.36   27.08  214.55
E14      55.96   45.98   55.21   73.53   31.20  -20.61   37.39  326.56
E15      69.61   73.63   31.05   88.75   -2.89   36.18   36.30   94.56
E16      27.25   28.25   23.65   60.12    0.09   -0.66    0.67  277.59
E17      47.27   39.56   23.18   69.16   27.26   15.82   31.51   30.12
E18      36.61   47.50   25.55   74.51  -28.02   20.72   34.84  143.52
E19      31.23   29.70   46.84   61.39    9.85  -32.21   33.69  287.00
E20      41.25   39.96   24.75   69.44    8.52   13.42   15.89   57.59
E21      48.96   46.49   29.61   73.86   11.63   12.79   17.28   47.71
E22      44.78   39.90   26.57   69.40   19.16   10.14   21.67   27.88
F01       1.67    2.09    1.46   15.93   -8.25    2.97    8.77  160.18
F02       1.32    2.07    1.24   15.85  -17.68    5.49   18.51  162.76
F03       1.41    2.39    1.18   17.38  -21.74    9.02   23.54  157.47
F04       1.45    2.50    1.30   17.91  -22.66    8.30   24.13  159.88
F05       7.10    8.80    6.58   35.59  -12.85    2.88   13.16  167.35
F06       5.99    9.02    5.81   36.02  -26.20    7.10   27.14  164.83
F07       4.88    9.14    4.92   36.24  -40.18   11.95   41.92  163.44
F08       4.35   10.07    4.72   37.97  -54.63   15.98   56.92  163.69
F09      41.63   45.03   37.32   72.91   -5.28   -0.26    5.29  182.76
F10      39.08   44.27   35.81   72.41  -11.01    0.98   11.06  174.91
F11      36.22   43.70   32.70   72.03  -18.59    4.83   19.21  165.44
F12      34.38   43.45   30.62   71.86  -24.10    7.73   25.31  162.22
F13      36.05   46.70   55.05   74.00  -27.68  -19.63   33.94  215.34
F14      49.99   38.00   50.81   68.02   39.56  -25.33   46.97  327.37
F15      67.37   70.97   23.14   87.47   -2.26   47.47   47.52   92.73
F16      18.22   18.96   15.85   50.64   -0.28   -0.52    0.59  241.61
F17      40.28   31.26   15.61   62.73   34.47   20.91   40.31   31.24
F18      27.49   38.43   17.73   68.34  -34.37   25.60   42.86  143.32
F19      22.37   20.37   40.14   52.25   13.07  -39.65   41.75  288.24
F20      47.73   46.80   32.07   74.06    7.39    9.29   11.87   51.48
F21      42.32   39.58   27.62   69.17   12.90    7.96   15.16   31.68
F22      50.32   45.23   33.04   73.04   18.82    6.08   19.78   17.91
G01       2.62    3.23    3.07   20.93   -9.00   -3.09    9.52  198.94
G02       2.09    3.17    3.38   20.69  -18.69   -5.71   19.54  197.00
G03       2.21    3.81    4.24   23.01  -26.26   -7.10   27.20  195.14
G04       2.24    3.88    4.30   23.25  -26.60   -7.03   27.51  194.80
G05       9.66   11.72   10.98   40.75  -12.40   -4.25   13.11  198.90
G06       8.28   11.76   11.49   40.82  -24.31   -5.70   24.97  193.20
G07       7.04   11.96   12.37   41.15  -37.27   -7.74   38.07  191.73
G08       6.33   12.96   14.74   42.70  -51.31  -11.45   52.57  192.58
G09      40.98   44.37   38.80   72.48   -5.39   -3.02    6.18  209.23
G10      38.38   44.13   39.38   72.32  -12.83   -4.06   13.45  197.56
G11      35.92   43.71   39.24   72.04  -19.66   -4.36   20.14  192.50
G12      33.75   43.61   39.56   71.97  -26.75   -4.91   27.19  190.39
G13      28.71   39.37   50.88   69.02  -32.56  -23.69   40.26  216.04
G14      44.19   30.77   46.15   62.31   48.02  -29.81   56.52  328.17
G15      65.34   68.20   16.53   86.10   -0.87   58.99   58.99   90.84
G16      11.33   11.82    9.90   40.92   -0.45   -0.53    0.69  229.89
G17      34.70   24.92   10.51   57.00   41.03   25.21   48.16   31.57
G18      20.47   30.93   12.48   62.45  -39.85   28.69   49.10  144.25
G19      15.65   13.59   34.15   43.64   15.68  -46.24   48.83  288.73
G20      35.99   34.33   17.52   65.22    9.96   20.69   22.96   64.28
G21      29.85   27.24   13.05   59.19   14.16   21.48   25.72   56.61
G22      39.71   34.65   17.39   65.47   20.88   21.42   29.91   45.74
H01       2.76    3.18    3.73   20.72   -5.43   -7.93    9.61  235.62
H02       2.45    3.14    4.91   20.59  -10.80  -14.97   18.46  234.19
H03       2.36    3.30    6.67   21.21  -15.24  -22.30   27.01  235.66
H04       2.40    3.31    6.90   21.23  -14.59  -23.27   27.47  237.91
H05      10.24   11.57   13.11   40.52   -6.81  -10.88   12.84  237.96
H06       9.36   11.64   16.95   40.63  -14.31  -20.40   24.92  234.95
H07       8.65   11.97   21.27   41.16  -22.56  -28.77   36.56  231.90
H08       8.21   12.45   27.71   41.92  -29.63  -39.19   49.13  232.91
H09      41.82   44.64   42.27   72.66   -3.59   -7.22    8.06  243.59
H10      40.42   44.47   46.11   72.54   -7.41  -12.11   14.19  238.54
H11      37.97   43.75   48.77   72.06  -13.04  -16.06   20.69  230.92
H12      37.05   44.21   52.96   72.36  -17.32  -20.21   26.62  229.40
H13      23.13   33.39   47.01   64.47  -36.19  -27.09   45.20  216.82
H14      39.43   25.29   42.05   57.36   54.97  -33.32   64.27  328.78
H15      63.44   65.43   11.90   84.71    0.85   68.73   68.73   89.29
H16       7.02    7.37    6.20   32.63   -0.80   -0.57    0.98  215.42
H17      30.26   20.18    7.17   52.03   46.58   28.70   54.71   31.64
H18      15.27   25.01    9.15   57.08  -44.49   29.91   53.61  146.09
H19      11.21    9.20   29.33   36.36   18.36  -51.44   54.61  289.64
H20      27.88   26.74   14.70   58.73    8.55   16.29   18.40   62.31
H21      37.83   34.44   20.45   65.31   15.62   14.55   21.34   42.97
H22      31.80   27.19   15.42   59.15   21.59   15.22   26.41   35.18
I01       4.60    4.64    6.32   25.66    1.70  -13.08   13.19  277.39
I02       4.62    4.59    9.25   25.53    2.59  -24.84   24.98  275.96
I03       4.84    4.69   13.24   25.81    4.26  -36.63   36.87  276.64
I04       4.95    4.66   18.07   25.73    5.91  -48.61   48.97  276.93
I05      14.82   15.02   17.06   45.65    2.13  -11.98   12.17  280.07
I06      15.19   15.08   22.24   45.74    3.96  -22.78   23.12  279.85
I07      15.08   14.91   26.22   45.51    4.33  -30.47   30.78  278.08
I08      15.56   15.07   32.84   45.72    6.24  -40.74   41.22  278.71
I09      43.94   44.91   42.85   72.83    1.93   -7.65    7.89  284.19
I10      43.56   44.30   45.69   72.43    2.54  -11.81   12.08  282.15
I11      43.20   43.67   49.67   72.01    3.31  -17.18   17.49  280.91
I12      43.31   43.79   54.07   72.09    3.30  -21.89   22.14  278.56
I13      19.28   28.98   43.84   60.76  -38.46  -29.69   48.58  217.67
I14      35.82   21.47   38.87   53.46   60.10  -35.90   70.00  329.15
I15      61.80   62.98    8.87   83.43    2.58   76.34   76.39   88.07
I16       4.53    4.79    4.01   26.11   -1.12   -0.38    1.18  198.56
I17      27.15   17.11    4.96   48.40   50.20   32.68   59.90   33.06
I18      11.77   20.68    6.77   52.59  -47.57   31.35   56.97  146.61
I19       8.49    6.53   25.77   30.72   21.06  -55.18   59.06  290.89
I20      35.91   34.36   24.17   65.25    9.57    7.24   12.00   37.10
I21      30.47   27.57   18.27   59.50   15.21    9.16   17.75   31.07
I22      39.79   34.73   23.55   65.53   20.88    8.88   22.69   23.04
J01       2.38    2.09    3.42   15.93    7.99  -14.13   16.23  299.47
J02       2.70    2.05    5.44   15.73   14.96  -26.06   30.05  299.85
J03       3.20    2.10    9.03   15.99   22.83  -40.51   46.50  299.40
J04       3.61    2.08   12.95   15.90   29.82  -52.91   60.73  299.41
J05      11.98   11.51   12.99   40.42    6.32  -10.74   12.46  300.46
J06      12.79   11.53   17.18   40.46   11.72  -21.21   24.23  298.91
J07      13.63   11.43   21.61   40.29   17.88  -30.93   35.72  300.04
J08      14.77   11.56   27.48   40.51   23.97  -41.23   47.69  300.17
J09      43.91   43.74   41.83   72.06    5.19   -7.69    9.28  303.98
J10      44.74   43.56   45.42   71.93    8.13  -12.35   14.78  303.38
J11      45.18   42.91   48.53   71.49   11.30  -16.76   20.22  303.99
J12      46.44   42.66   53.03   71.32   15.60  -22.08   27.04  305.24
J13      15.93   24.88   40.59   56.96  -40.10  -32.13   51.38  218.70
J14      32.44   18.10   35.66   49.62   64.95  -38.11   75.30  329.60
J15      60.12   60.34    6.45   82.02    4.69   83.50   83.63   86.78
J16       2.77    2.96    2.47   19.86   -1.36   -0.24    1.38  189.91
J17      24.29   14.39    3.35   44.79   53.80   36.04   64.76   33.82
J18       8.91   16.85    4.97   48.08  -50.10   32.09   59.49  147.36
J19       5.79    4.38   19.74   24.88   19.59  -53.71   57.17  290.04
J20      22.72   20.73    9.24   52.65   12.94   21.97   25.50   59.51
J21      18.52   15.81    6.56   46.72   18.17   22.15   28.65   50.63
J22      25.30   20.90    9.19   52.84   23.45   22.44   32.46   43.74
K01       5.45    4.54    5.60   25.37   13.50  -10.22   16.93  322.87
K02       6.75    4.60    7.98   25.56   26.97  -20.15   33.67  323.23
K03       8.23    4.57   11.32   25.48   41.36  -31.66   52.08  322.57
K04       9.39    5.11   12.39   27.04   44.52  -32.12   54.89  324.19
K05      16.55   14.99   16.01   45.61   12.33   -9.57   15.60  322.19
K06      18.36   14.70   19.07   45.22   23.77  -17.20   29.34  324.12
K07      21.06   14.88   23.51   45.47   36.19  -25.66   44.36  324.66
K08      24.41   15.33   29.54   46.08   48.73  -35.01   60.00  324.31
K09      44.94   43.49   40.89   71.89    8.90   -6.79   11.19  322.67
K10      46.72   42.74   44.52   71.38   16.14  -12.22   20.24  322.88
K11      49.98   43.29   49.53   71.75   23.46  -17.46   29.24  323.33
K12      51.36   42.19   52.14   71.00   30.37  -21.67   37.31  324.50
K13      12.91   20.86   37.03   52.80  -40.73  -34.54   53.40  220.30
K14      28.91   14.92   32.19   45.52   69.55  -40.12   80.29  330.02
K15      58.00   57.06    4.47   80.22    7.43   90.19   90.50   85.29
K16       1.53    1.64    1.36   13.44   -1.16   -0.11    1.16  185.17
K17      21.40   11.89    2.02   41.04   56.87   40.25   69.68   35.29
K18       6.53   13.25    3.27   43.13  -51.02   33.79   61.20  146.48
K19       4.72    2.94   19.03   19.78   28.68  -61.00   67.41  295.18
K20      17.25   15.59    7.71   46.43   12.70   16.87   21.11   53.03
K21      23.96   20.73   10.86   52.65   18.48   16.63   24.86   41.98
K22      19.52   15.81    7.41   46.72   23.28   18.55   29.76   38.55
L01       3.90    3.19    3.06   20.79   13.02   -3.30   13.43  345.79
L02       4.86    3.21    3.42   20.88   25.80   -5.60   26.39  347.76
L03       6.82    4.09    4.74   23.97   34.47   -8.26   35.45  346.53
L04       6.59    3.98    4.61   23.60   33.76   -8.14   34.72  346.44
L05      13.17   11.26   10.62   40.01   16.10   -4.43   16.69  344.63
L06      16.16   11.53   11.37   40.45   32.36   -5.99   32.90  349.52
L07      19.74   11.88   12.76   41.03   48.91   -9.03   49.73  349.54
L08      23.08   11.91   14.58   41.06   64.52  -13.86   65.99  347.88
L09      45.62   43.49   38.19   71.88   10.87   -3.21   11.34  343.53
L10      47.89   43.40   40.23   71.82   17.46   -6.02   18.47  340.98
L11      49.31   42.08   41.07   70.93   25.21   -8.66   26.65  341.04
L12      51.49   42.29   41.77   71.07   30.39   -9.30   31.78  342.98
L13      10.16   16.76   33.11   47.96  -39.47  -37.29   54.30  223.37
L14      25.50   12.18   28.72   41.49   73.14  -41.60   84.14  330.37
L15      54.55   52.03    2.90   77.30   11.45   95.35   96.04   83.15
L16       0.78    0.83    0.68    7.45   -0.79    0.07    0.80  174.71
L17      18.54    9.70    1.05   37.30   58.87   45.29   74.28   37.57
L18       4.29    9.35    1.89   36.64  -49.71   34.00   60.22  145.63
L19       3.49    1.86   15.79   14.70   33.01  -62.36   70.56  297.90
L20      22.97   20.92   12.46   52.86   13.20   12.20   17.97   42.74
L21      18.47   15.74    8.95   46.64   18.26   12.60   22.18   34.61
L22      25.59   21.06   12.39   53.01   23.88   12.67   27.03   27.95
Dmin     77.26   80.09   67.52   91.73    0.14   -1.38    1.39  275.80
GS1      69.90   72.34   60.83   88.13    0.38   -1.18    1.24  287.90
GS2      63.97   66.13   55.58   85.06    0.55   -1.12    1.25  295.91
GS3      56.04   57.88   48.81   80.67    0.62   -1.25    1.40  296.47
GS4      49.20   50.84   42.83   76.58    0.54   -1.14    1.27  295.42
GS5      43.11   44.60   37.47   72.63    0.37   -0.95    1.02  291.21
GS6      36.37   37.66   31.68   67.77    0.26   -0.96    1.00  284.94
GS7      30.75   31.77   26.76   63.15    0.47   -0.96    1.07  296.01
GS8      25.27   26.17   22.01   58.20    0.18   -0.85    0.86  281.79
GS9      21.98   22.81   19.10   54.87    0.00   -0.62    0.62  269.69
GS10     18.08   18.80   15.79   50.45   -0.23   -0.70    0.74  252.01
GS11     14.55   15.17   12.81   45.87   -0.43   -0.83    0.93  242.52
GS12     12.15   12.67   10.70   42.26   -0.45   -0.80    0.92  240.64
GS13      9.51    9.94    8.41   37.73   -0.59   -0.78    0.98  232.64
GS14      7.66    8.05    6.81   34.07   -0.88   -0.76    1.16  220.92
GS15      5.96    6.28    5.33   30.11   -1.01   -0.72    1.25  215.52
GS16      4.74    5.01    4.22   26.76   -1.14   -0.50    1.25  203.69
GS17      3.64    3.87    3.24   23.22   -1.24   -0.40    1.31  197.93
GS18      2.73    2.90    2.44   19.66   -1.36   -0.35    1.41  194.42
GS19      1.97    2.10    1.75   16.00   -1.22   -0.19    1.23  188.81
GS20      1.47    1.57    1.31   13.04   -1.17   -0.20    1.18  189.74
GS21      0.97    1.04    0.86    9.28   -0.99   -0.17    1.01  189.43
GS22      0.61    0.64    0.54    5.80   -0.33   -0.21    0.39  212.06
Dmax      0.61    0.64    0.54    5.80   -0.31   -0.21    0.37  214.61
END_DATA
