IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "November 30, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "2000:11"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
B07      21.49   13.65    2.57   43.68   45.80   39.97   60.79   41.11
B08      22.33   13.12    1.56   42.90   53.06   48.31   71.76   42.32
B09      38.66   35.98   26.10   66.47   13.17    5.93   14.45   24.22
B10      41.85   37.06   23.74   67.28   19.55   11.57   22.71   30.62
B11      41.96   36.41   20.97   66.79   21.96   16.11   27.24   36.25
B12      42.91   35.49   15.54   66.08   27.89   26.96   38.79   44.03
B13      68.18   73.79   62.00   88.82   -6.29   -1.15    6.39  190.33
B14      72.50   72.85   61.79   88.37    4.85   -1.71    5.14  340.53
B15      74.64   78.08   55.51   90.82   -1.26    8.88    8.97   98.10
B16      63.88   66.56   53.84   85.28   -0.61    1.11    1.27  118.59
B17      71.21   72.06   54.33   87.99    3.77    5.26    6.47   54.35
B18      66.92   72.75   54.52   88.33   -6.95    5.64    8.95  140.93
B19      64.86   67.50   60.58   85.75   -0.44   -5.04    5.06  265.05
B20      47.23   48.97   30.19   75.41    0.13   14.57   14.57   89.49
B21      55.67   55.77   34.36   79.46    4.87   15.25   16.01   72.27
B22      52.10   49.87   30.11   75.95   10.86   15.63   19.03   55.19
C01       7.08    6.85    3.38   31.39    4.87   12.84   13.73   69.24
C02       7.76    6.97    1.94   31.65   10.22   24.91   26.92   67.68
C03       8.30    7.04    1.17   31.82   14.34   34.12   37.01   67.20
C04       8.87    7.06    0.90   31.85   19.26   38.22   42.80   63.25
C05      26.35   24.46   11.79   56.48   11.90   20.47   23.67   59.82
C06      30.72   26.13    6.71   58.09   22.01   41.16   46.68   61.87
C07      33.20   26.46    2.93   58.40   29.64   62.52   69.19   64.64
C08      33.81   25.49    1.57   57.47   35.77   73.31   81.57   63.99
C09      44.29   42.54   28.80   71.21    9.83    9.57   13.72   44.21
C10      44.14   42.25   23.71   71.01   10.27   18.06   20.78   60.37
C11      46.45   43.29   19.68   71.72   13.82   27.21   30.52   63.07
C12      47.86   42.61   10.72   71.24   19.83   49.15   53.00   68.02
C13      58.05   66.83   60.86   85.42  -14.90   -5.89   16.03  201.56
C14      66.86   62.50   59.73   83.16   15.17   -8.65   17.46  330.31
C15      73.27   77.12   43.86   90.38   -2.19   21.37   21.48   95.86
C16      46.29   48.29   39.14   74.99   -0.71    0.90    1.15  128.30
C17      63.07   59.77   40.14   81.69   12.98   11.13   17.10   40.60
C18      54.81   64.01   40.75   83.97  -16.69   14.26   21.95  139.49
C19      49.96   50.68   56.72   76.46    3.04  -17.13   17.39  280.07
C20      52.65   54.68   37.05   78.84   -0.12   10.37   10.37   90.68
C21      49.30   49.29   33.35   75.60    4.94   10.09   11.23   63.91
C22      59.96   57.35   39.88   80.35   11.48    9.16   14.69   38.60
D01       4.65    4.93    2.27   26.44   -1.17   12.77   12.82   95.22
D02       4.81    5.06    1.45   26.80   -0.87   21.81   21.82   92.29
D03       4.85    5.24    1.04   27.31   -2.43   28.23   28.34   94.92
D04       4.78    5.17    0.91   27.11   -2.48   29.96   30.07   94.73
D05      18.60   19.44    9.34   51.12   -0.61   19.06   19.07   91.83
D06      18.64   19.56    4.89   51.25   -0.96   38.02   38.04   91.44
D07      18.75   19.69    2.24   51.40   -1.11   56.11   56.12   91.13
D08      18.60   20.00    1.72   51.73   -3.38   61.80   61.89   93.13
D09      48.65   49.76   24.96   75.89    1.90   24.21   24.28   85.51
D10      49.85   51.23   14.35   76.79    1.30   48.38   48.39   88.46
D11      50.65   52.14    6.79   77.33    1.10   73.93   73.93   89.15
D12      48.10   50.51    4.07   76.36   -1.59   85.91   85.93   91.06
D13      48.39   59.73   59.28   81.69  -23.70  -10.74   26.02  204.38
D14      61.25   52.67   57.31   77.65   26.18  -15.69   30.53  329.06
D15      72.30   76.34   32.98   90.01   -2.66   35.45   35.55   94.29
D16      31.74   33.08   26.48   64.19   -0.51    1.34    1.43  110.84
D17      55.70   48.93   28.04   75.36   22.61   17.98   28.89   38.48
D18      43.64   55.35   29.30   79.24  -26.59   22.57   34.87  139.68
D19      36.81   36.15   52.34   66.58    6.68  -29.50   30.25  282.75
D20      42.73   43.69   22.76   71.98    1.89   21.54   21.63   84.99
D21      39.78   38.89   19.83   68.62    7.37   21.60   22.82   71.16
D22      48.11   44.82   22.97   72.73   14.07   22.43   26.47   57.90
E01       6.14    6.97    3.52   31.66   -5.99   12.32   13.70  115.94
E02       5.81    7.05    2.08   31.85  -10.48   23.83   26.04  113.74
E03       5.30    7.17    1.36   32.11  -17.50   32.11   36.56  118.59
E04       4.63    6.99    1.20   31.73  -24.07   33.53   41.28  125.67
E05      26.56   29.56   15.41   61.23   -7.68   18.88   20.38  112.14
E06      24.13   29.83    9.53   61.47  -18.93   36.20   40.85  117.60
E07      21.91   29.85    4.78   61.50  -29.01   56.25   63.29  117.28
E08      20.49   29.12    3.42   60.87  -33.04   63.33   71.43  117.55
E09      46.92   49.73   32.57   75.89   -2.79   11.71   12.03  103.40
E10      45.62   50.77   26.11   76.52   -9.21   23.23   24.99  111.62
E11      42.88   50.18   19.75   76.17  -15.61   34.74   38.09  114.20
E12      41.64   50.42   15.60   76.32  -20.00   44.38   48.68  114.25
E13      40.74   53.66   57.79   78.26  -31.08  -15.14   34.57  205.96
E14      55.88   43.42   54.81   71.81   38.38  -23.14   44.81  328.91
E15      71.90   75.85   25.10   89.79   -2.53   47.88   47.95   93.03
E16      21.18   21.97   17.87   53.96    0.07    0.54    0.54   82.92
E17      49.06   39.31   19.37   68.93   33.07   23.11   40.34   34.95
E18      34.37   47.52   21.13   74.51  -35.63   29.06   45.98  140.80
E19      26.91   25.04   47.88   57.06   11.78  -40.87   42.54  286.08
E20      37.68   38.62   22.90   68.44    1.52   15.15   15.23   84.26
E21      45.73   44.67   26.57   72.64    7.82   15.76   17.59   63.62
E22      43.69   39.79   23.42   69.28   16.42   15.62   22.67   43.56
F01       3.93    4.87    3.15   26.31  -10.38    5.62   11.80  151.58
F02       3.27    4.96    2.77   26.60  -21.82    8.95   23.58  157.70
F03       2.67    4.93    2.29   26.48  -31.94   12.69   34.37  158.32
F04       2.28    5.13    1.71   27.02  -42.24   19.16   46.39  155.60
F05      12.75   15.68   10.93   46.52  -14.81    5.89   15.94  158.31
F06       9.73   15.21    8.52   45.89  -34.04   12.92   36.41  159.21
F07       7.58   14.78    7.11   45.31  -50.11   17.40   53.04  160.85
F08       6.48   15.04    5.97   45.69  -62.59   23.05   66.70  159.78
F09      30.22   35.21   25.62   65.89  -13.36    5.74   14.54  156.73
F10      25.77   33.67   22.11   64.69  -25.72   10.18   27.66  158.40
F11      23.46   33.96   20.78   64.92  -36.64   13.23   38.95  160.15
F12      21.53   34.49   19.70   65.34  -47.25   16.18   49.95  161.10
F13      34.03   47.80   55.74   74.69  -37.54  -19.15   42.14  207.03
F14      51.00   35.92   52.00   66.43   49.10  -29.40   57.23  329.09
F15      71.11   74.79   18.54   89.29   -2.05   59.95   59.99   91.96
F16      13.93   14.40   11.66   44.76    0.38    0.64    0.74   58.95
F17      43.44   31.82   12.89   63.14   42.14   28.78   51.03   34.33
F18      27.12   40.78   15.02   70.02  -43.16   34.98   55.56  140.98
F19      19.63   17.09   43.54   48.33   16.86  -50.74   53.47  288.38
F20      42.54   42.79   29.22   71.38    3.94    9.18    9.99   66.76
F21      38.80   38.21   25.03   68.14    6.42   10.71   12.49   59.04
F22      50.36   46.33   30.50   73.72   15.90   11.18   19.44   35.10
G01       2.66    3.26    2.60   21.03   -8.54    0.73    8.57  175.13
G02       2.24    3.25    2.92   21.00  -16.84   -1.87   16.94  186.33
G03       1.94    3.36    3.17   21.37  -25.12   -3.01   25.30  186.83
G04       1.96    3.79    3.74   22.89  -31.31   -4.23   31.59  187.69
G05      11.84   14.99   12.51   45.59  -17.04   -0.41   17.05  181.39
G06      10.00   15.06   13.29   45.68  -31.01   -2.45   31.11  184.51
G07       8.01   14.69   14.11   45.18  -45.59   -5.49   45.92  186.87
G08       7.11   14.80   15.90   45.33  -54.76   -9.75   55.62  190.10
G09      29.74   34.65   28.58   65.45  -13.29   -0.03   13.29  180.11
G10      26.13   34.43   28.96   65.29  -26.82   -0.93   26.84  181.98
G11      22.17   32.94   27.61   64.10  -38.96   -0.75   38.97  181.10
G12      20.36   33.35   29.75   64.43  -48.93   -3.66   49.07  184.28
G13      28.30   42.33   53.56   71.09  -43.09  -23.05   48.86  208.14
G14      46.76   29.76   49.24   61.41   59.15  -34.95   68.70  329.42
G15      70.28   73.57   13.73   88.72   -1.32   70.55   70.56   91.07
G16       8.87    9.14    7.51   36.20    0.64    0.10    0.65    8.84
G17      38.75   25.93    8.83   57.93   50.31   32.58   59.93   32.93
G18      21.60   35.31   11.09   65.98  -49.70   38.91   63.12  141.94
G19      14.43   11.54   39.54   40.44   22.14  -59.23   63.23  290.50
G20      33.92   33.88   15.96   64.82    4.52   23.73   24.15   79.21
G21      29.77   27.48   12.13   59.37   12.97   24.44   27.67   62.05
G22      40.26   35.16   16.45   65.83   20.93   24.29   32.06   49.25
H01       2.78    3.24    3.27   20.96   -6.03   -4.45    7.49  216.39
H02       2.35    3.17    4.29   20.70  -13.28  -11.32   17.45  220.44
H03       2.09    3.22    5.24   20.84  -19.53  -16.22   25.39  219.70
H04       2.42    3.75    7.70   22.77  -20.88  -23.80   31.66  228.74
H05      10.12   11.95   12.47   41.09  -10.28   -8.06   13.06  218.10
H06       9.01   11.91   15.84   41.04  -18.99  -17.02   25.50  221.86
H07       7.58   11.42   19.72   40.24  -28.34  -27.12   39.23  223.74
H08       5.72   10.40   18.51   38.51  -40.13  -27.51   48.65  214.43
H09      32.11   34.80   32.22   65.57   -5.04   -5.55    7.50  227.74
H10      30.47   34.72   35.97   65.50  -10.78  -11.13   15.50  225.91
H11      29.55   35.09   41.33   65.80  -15.51  -17.82   23.62  228.96
H12      28.83   35.65   46.20   66.24  -20.14  -23.08   30.63  228.90
H13      24.11   38.12   51.68   68.11  -47.48  -26.14   54.20  208.84
H14      43.50   25.21   46.82   57.25   67.76  -39.31   78.34  329.88
H15      70.99   73.88   10.66   88.86   -0.46   79.68   79.68   90.33
H16       5.68    5.82    4.86   28.92    0.81   -0.31    0.87  339.26
H17      35.44   21.87    6.16   53.86   57.03   36.30   67.61   32.48
H18      17.25   30.61    8.53   62.17  -55.20   40.92   68.71  143.45
H19      10.85    7.81   35.74   33.55   27.77  -65.92   71.53  292.85
H20      27.38   27.06   14.35   58.99    5.36   17.68   18.48   73.14
H21      36.34   34.01   18.80   64.93   12.26   17.41   21.29   54.85
H22      32.48   28.20   14.96   60.03   20.10   17.93   26.94   41.73
I01       4.64    4.80    6.51   26.12    0.22  -13.11   13.12  270.98
I02       4.60    4.73    9.85   25.91    0.59  -26.20   26.21  271.29
I03       4.10    4.55   13.28   25.38   -3.89  -37.42   37.62  264.07
I04       3.88    4.50   15.29   25.23   -6.45  -42.90   43.38  261.45
I05      14.75   15.20   16.30   45.87    0.66   -9.78    9.80  273.84
I06      14.65   15.27   21.14   45.96   -0.37  -20.18   20.19  268.95
I07      14.71   15.15   26.67   45.80    0.74  -30.69   30.70  271.38
I08      13.86   14.72   30.35   45.21   -1.96  -37.76   37.81  267.03
I09      32.26   33.72   31.51   64.72   -0.84   -5.94    6.00  261.91
I10      31.91   33.46   35.11   64.51   -1.19  -11.63   11.69  264.16
I11      34.43   35.26   40.70   65.93    1.57  -16.79   16.86  275.35
I12      33.62   34.56   47.66   65.38    1.14  -26.29   26.31  272.49
I13      20.73   34.34   49.71   65.23  -50.58  -28.91   58.26  209.75
I14      40.40   21.44   44.06   53.40   74.99  -42.62   86.26  330.39
I15      71.51   73.93    8.26   88.89    0.55   87.96   87.97   89.64
I16       3.60    3.67    3.09   22.50    1.10   -0.55    1.23  333.30
I17      32.48   18.65    4.18   50.25   62.35   40.22   74.20   32.83
I18      13.84   26.56    6.53   58.56  -59.54   42.67   73.25  144.37
I19       8.32    5.25   32.01   27.40   33.81  -71.06   78.69  295.44
I20      33.22   33.23   21.67   64.32    4.30   10.42   11.27   67.59
I21      29.46   27.16   16.96   59.08   13.07   11.44   17.37   41.20
I22      39.23   34.44   22.01   65.27   20.15   11.40   23.15   29.51
J01       1.34    1.15    2.18   10.18    7.49  -14.40   16.23  297.50
J02       1.69    1.12    4.57    9.92   18.27  -31.55   36.46  300.08
J03       2.07    1.11    7.96    9.87   27.50  -47.09   54.53  300.28
J04       2.19    1.18   10.40   10.43   27.53  -54.69   61.23  296.72
J05       9.92    9.31   10.62   36.54    7.74  -10.38   12.95  306.72
J06      10.27    9.04   14.80   36.02   12.70  -23.07   26.33  298.83
J07      11.47    9.19   20.67   36.31   20.38  -35.87   41.25  299.61
J08      11.80    8.81   27.44   35.58   25.86  -49.62   55.96  297.53
J09      29.65   29.28   27.36   61.00    5.57   -5.68    7.95  314.42
J10      31.56   29.93   32.45   61.57   10.22  -12.79   16.37  308.62
J11      33.19   30.01   38.41   61.63   15.74  -21.16   26.37  306.64
J12      35.30   30.63   45.88   62.16   20.75  -29.73   36.25  304.91
J13      17.54   30.41   47.31   62.01  -52.84  -31.70   61.62  210.96
J14      36.87   17.84   40.81   49.29   81.50  -45.62   93.40  330.76
J15      71.68   73.57    6.18   88.71    1.64   96.24   96.25   89.03
J16       2.08    2.11    1.76   16.05    1.00   -0.24    1.03  346.37
J17      29.47   15.75    2.60   46.64   66.82   44.87   80.49   33.88
J18      10.91   22.71    4.80   54.77  -63.14   44.50   77.25  144.82
J19       5.21    3.14   21.97   20.59   31.34  -65.59   72.69  295.54
J20      22.27   21.09    8.52   52.99    9.30   25.18   26.84   69.72
J21      18.67   16.47    5.96   47.53   15.29   26.29   30.41   59.82
J22      26.35   21.89    8.63   53.85   23.29   26.26   35.10   48.44
K01       2.41    1.97    2.26   15.34   11.14   -6.26   12.78  330.68
K02       2.95    1.97    3.39   15.31   21.27  -15.02   26.03  324.77
K03       3.65    1.97    4.66   15.34   32.72  -22.69   39.82  325.27
K04       4.71    2.11    6.88   16.05   44.62  -32.04   54.94  324.32
K05       8.30    6.82    7.68   31.35   16.60   -8.95   18.85  331.67
K06       9.90    6.75   10.75   31.22   30.53  -19.92   36.46  326.87
K07      11.96    6.70   14.66   31.10   46.28  -31.20   55.82  326.02
K08      13.17    6.18   18.28   29.87   59.75  -41.92   72.99  324.95
K09      26.67   24.65   23.39   56.70   12.38   -6.02   13.77  334.06
K10      29.60   24.89   27.86   56.93   22.90  -13.51   26.59  329.47
K11      35.79   26.68   35.66   58.64   37.58  -22.52   43.82  329.07
K12      34.97   24.34   39.37   56.38   44.54  -31.48   54.54  324.75
K13      14.60   26.35   44.30   58.37  -53.99  -34.38   64.01  212.49
K14      32.81   14.52   36.70   44.97   86.32  -47.59   98.57  331.13
K15      71.04   72.34    4.60   88.13    2.81  103.14  103.18   88.44
K16       1.03    1.05    0.87    9.41    0.50    0.01    0.50    1.14
K17      26.03   13.01    1.41   42.77   69.85   49.86   85.82   35.52
K18       8.19   18.62    3.26   50.24  -65.72   46.10   80.28  144.95
K19       4.87    2.06   23.79   15.81   47.68  -77.31   90.83  301.67
K20      17.07   16.01    7.09   46.93    9.38   20.31   22.37   65.22
K21      24.50   21.54    9.97   53.48   17.11   20.96   27.05   50.78
K22      19.25   16.06    7.18   47.00   20.58   20.03   28.72   44.23
L01       2.37    1.99    1.55   15.40   10.07    0.93   10.12    5.29
L02       3.02    1.99    1.78   15.46   22.04   -1.47   22.09  356.18
L03       3.66    2.04    2.09   15.70   31.31   -4.12   31.58  352.50
L04       5.18    2.52    3.01   17.97   42.18   -7.74   42.88  349.61
L05       8.33    6.72    5.89   31.12   17.86   -1.67   17.93  354.67
L06      10.97    7.06    6.69   31.93   35.64   -3.87   35.85  353.80
L07      13.40    7.02    7.33   31.85   52.69   -6.70   53.11  352.75
L08      15.09    6.70    8.49   31.10   66.38  -12.45   67.54  349.38
L09      26.41   24.25   20.16   56.31   13.01   -0.36   13.01  358.43
L10      32.17   25.45   22.51   57.47   30.02   -3.02   30.17  354.26
L11      35.21   25.86   23.37   57.86   39.00   -3.97   39.20  354.18
L12      34.22   23.81   23.24   55.85   44.23   -7.18   44.81  350.78
L13      12.40   23.03   41.18   55.10  -54.05  -36.09   65.00  213.73
L14      28.61   11.75   32.02   40.82   88.64  -47.96  100.78  331.59
L15      70.00   70.85    3.72   87.41    3.69  107.09  107.16   88.03
L16       0.49    0.49    0.44    4.42    0.89   -0.73    1.15  320.41
L17      22.55   10.69    0.62   39.04   70.85   55.63   90.08   38.14
L18       6.01   14.97    2.30   45.59  -67.20   45.54   81.17  145.88
L19       3.74    1.24   19.44   10.79   53.77  -77.34   94.20  304.81
L20      22.09   20.85   11.61   52.74    9.57   14.51   17.38   56.59
L21      18.14   15.92    8.33   46.83   15.61   15.24   21.82   44.31
L22      25.94   21.58   12.17   53.53   22.97   14.26   27.04   31.83
Dmin     74.57   77.53   61.92   90.56   -0.32    1.94    1.97   99.37
GS1      62.60   65.13   52.68   84.55   -0.41    1.11    1.18  110.12
GS2      55.07   57.31   46.57   80.35   -0.42    0.81    0.91  117.59
GS3      46.33   48.24   39.00   74.96   -0.45    1.03    1.13  113.76
GS4      39.06   40.66   32.57   69.92   -0.40    1.41    1.46  105.71
GS5      33.04   34.42   27.50   65.28   -0.45    1.47    1.54  107.14
GS6      28.02   29.11   23.45   60.85   -0.11    1.01    1.02   96.20
GS7      23.80   24.68   20.10   56.75    0.06    0.50    0.51   83.20
GS8      19.39   20.08   16.52   51.90    0.20    0.08    0.21   22.96
GS9      16.71   17.27   14.08   48.57    0.42    0.41    0.59   44.32
GS10     13.85   14.29   11.56   44.62    0.55    0.67    0.86   50.79
GS11     11.37   11.71    9.47   40.71    0.64    0.60    0.87   43.30
GS12      9.55    9.83    8.00   37.51    0.63    0.41    0.75   33.19
GS13      7.50    7.75    6.34   33.41    0.33    0.19    0.38   30.18
GS14      6.21    6.40    5.31   30.37    0.50   -0.17    0.53  340.76
GS15      4.96    5.08    4.20   26.93    0.83   -0.10    0.84  353.13
GS16      3.89    3.97    3.31   23.54    0.97   -0.27    1.01  344.31
GS17      2.88    2.92    2.43   19.71    1.20   -0.20    1.22  350.72
GS18      2.08    2.11    1.77   16.06    0.91   -0.32    0.97  340.44
GS19      1.36    1.39    1.16   11.85    0.82   -0.23    0.85  344.61
GS20      0.97    1.00    0.84    8.94    0.70   -0.39    0.80  330.97
GS21      0.59    0.60    0.52    5.37    0.54   -0.64    0.84  309.83
GS22      0.33    0.32    0.29    2.86    1.00   -0.55    1.14  331.04
Dmax      0.32    0.31    0.30    2.74    1.20   -0.89    1.49  323.62
END_DATA
