IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D55, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "January 07, 2002"
PROD_DATE "2001:12"
SERIAL "DIN A4  R012020"
MATERIAL "Kodak Professional Digital 3 - Non-Glossy"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
B6          13.87   10.52    3.98          38.74   25.97   21.59          33.78   39.74
B7          16.73   10.84    2.34          39.30   40.45   34.37          53.08   40.36
B8          19.84   10.70    1.04          39.07   57.80   48.34          75.35   39.91
B9          40.06   39.70   31.62          69.25    5.60    1.73           5.86   17.13
B10         41.91   39.68   28.52          69.25   11.35    6.63          13.14   30.29
B11         43.95   39.90   25.64          69.40   16.70   11.77          20.43   35.17
B12         46.51   39.87   21.40          69.38   24.13   19.66          31.13   39.18
B13         70.51   76.97   75.25          90.31   -7.78  -10.65          13.19   233.88
B14         73.36   72.79   74.08          88.35    6.68  -13.03          14.64   297.15
B15         76.02   81.10   62.61          92.17   -4.38    4.11           6.00   136.85
B16         63.16   66.15   59.52          85.08   -1.44   -5.09           5.29   254.26
B17         69.46   69.51   59.36          86.75    5.30   -2.04           5.69   338.95
B18         67.27   74.66   60.88          89.23  -10.13    0.72          10.16   175.92
B19         64.90   66.69   71.82          85.35    1.34  -16.22          16.27   274.69
B20          2.42    1.77    0.78          14.18   16.37    9.77          19.06   30.82
B21          7.58    4.52    0.88          25.31   36.16   27.22          45.26   36.97
B22         27.54   23.45   12.30          55.54   20.92   17.32          27.16   39.61
C1           4.04    4.00    2.30          23.65    2.76    7.72           8.20   70.33
C2           4.23    3.92    1.43          23.42    6.36   16.23          17.43   68.59
C3           5.00    4.45    1.16          25.11    9.35   22.66          24.51   67.59
C4           4.36    3.94    1.12          23.45    8.12   20.27          21.83   68.18
C5          22.38   21.57   11.27          53.56    7.41   16.96          18.51   66.39
C6          24.54   21.83    5.68          53.84   15.78   38.46          41.58   67.69
C7          27.04   22.33    2.54          54.38   23.94   58.63          63.33   67.79
C8          27.52   22.16    1.98          54.20   26.61   63.28          68.65   67.20
C9          46.77   47.44   34.86          74.47    2.90    5.93           6.61   63.92
C10         48.17   47.63   28.87          74.59    6.27   15.27          16.51   67.66
C11         49.23   47.37   23.11          74.42    9.88   25.05          26.93   68.47
C12         51.28   47.80   17.67          74.69   14.20   36.71          39.36   68.86
C13         61.92   70.26   73.02          87.13  -13.12  -14.21          19.34   227.29
C14         67.94   63.59   70.69          83.75   14.95  -17.95          23.37   309.78
C15         73.75   79.30   52.11          91.37   -5.53   13.54          14.63   112.21
C16         49.54   51.69   46.42          77.09   -0.80   -4.60           4.67   260.20
C17         61.98   59.10   47.45          81.34   11.92    1.52          12.02    7.29
C18         56.88   66.44   49.91          85.22  -16.96    5.39          17.80   162.37
C19         53.26   53.86   66.53          78.38    3.44  -23.43          23.68   278.37
C20          1.45    1.27    0.78          11.09    6.70    4.52           8.09   34.03
C21         21.70   16.32    4.71          47.39   30.87   32.30          44.68   46.30
C22         33.63   30.74   18.06          62.29   14.50   14.48          20.49   44.95
D1           3.69    3.96    2.33          23.52   -1.83    7.21           7.45   104.19
D2           3.61    3.90    1.42          23.34   -2.29   16.18          16.34   98.06
D3           4.42    4.73    1.28          25.97   -2.06   22.48          22.57   95.23
D4           3.66    3.93    1.20          23.44   -2.05   19.22          19.33   96.09
D5          25.23   26.72   14.45          58.71   -2.20   16.91          17.05   97.41
D6          25.06   26.80    7.93          58.78   -3.28   37.34          37.49   95.01
D7          24.99   27.09    3.84          59.06   -4.75   57.51          57.71   94.72
D8          25.11   26.93    2.54          58.91   -3.61   66.45          66.54   93.10
D9          53.66   56.20   42.03          79.72   -1.33    5.32           5.48   104.03
D10         53.25   56.16   32.78          79.71   -2.30   17.99          18.13   97.28
D11         53.15   56.25   26.38          79.75   -2.78   28.34          28.48   95.60
D12         52.52   56.61    6.36          79.96   -5.27   80.35          80.53   93.75
D13         53.13   62.91   69.98          83.39  -18.49  -17.95          25.77   224.14
D14         62.68   55.25   67.07          79.19   22.85  -22.53          32.09   315.40
D15         71.08   76.81   41.41          90.24   -6.22   24.23          25.02   104.41
D16         37.12   38.74   34.67          68.56   -0.78   -4.00           4.09   258.76
D17         54.83   49.73   36.44          75.90   18.12    6.15          19.13   18.73
D18         46.87   57.94   39.38          80.71  -23.70   10.45          25.91   156.21
D19         42.88   42.70   60.97          71.36    5.12  -30.20          30.63   279.61
D20         12.98    9.91    2.72          37.67   24.86   28.43          37.77   48.83
D21         20.34   19.86   12.12          51.68    5.92   11.18          12.65   62.10
D22         36.91   35.39   20.87          66.05    9.36   14.99          17.68   58.02
E1           3.38    3.94    2.37          23.44   -6.34    6.78           9.29   133.06
E2           3.05    3.92    1.50          23.39  -11.63   15.27          19.20   127.30
E3           3.55    4.79    1.38          26.11  -15.08   21.47          26.24   125.08
E4           2.92    3.85    1.27          23.17  -12.98   17.75          21.98   126.19
E5          11.57   13.35    7.84          43.28   -8.95   10.96          14.14   129.22
E6          10.53   13.49    4.83          43.50  -17.48   24.97          30.48   125.00
E7           9.65   13.84    2.70          44.00  -26.47   39.50          47.55   123.83
E8           9.27   13.74    2.17          43.86  -29.00   43.66          52.42   123.59
E9          36.47   39.76   29.77          69.30   -6.10    4.71           7.70   142.33
E10         34.97   39.57   25.15          69.16  -10.50   12.24          16.12   130.60
E11         33.83   39.61   20.69          69.19  -14.55   20.77          25.36   125.00
E12         29.28   39.72    9.68          69.27  -31.45   49.13          58.33   122.63
E13         45.16   55.80   66.72          79.50  -23.35  -21.68          31.86   222.87
E14         57.08   46.98   62.78          74.18   31.13  -27.10          41.28   318.96
E15         69.14   74.80   33.64          89.30   -6.35   33.26          33.86   100.80
E16         27.76   29.09   26.02          60.86   -1.12   -3.63           3.79   252.80
E17         48.38   41.48   27.95          70.51   24.41    9.73          26.28   21.73
E18         37.84   49.67   30.73          75.87  -29.90   14.50          33.22   154.13
E19         33.73   32.72   54.76          63.93    7.72  -36.63          37.44   281.91
E20         22.84   16.00    1.55          46.98   37.91   55.41          67.14   55.63
E21         15.91   13.32    2.68          43.24   18.90   38.34          42.74   63.75
E22         28.42   24.71    8.28          56.80   18.99   32.57          37.70   59.76
F1           1.33    1.73    1.37          13.99   -9.52    0.74           9.54   175.59
F2           1.06    1.73    1.12          13.98  -17.93    4.02          18.38   167.37
F3           1.29    2.30    1.40          16.98  -23.65    5.52          24.29   166.87
F4           1.04    1.70    1.10          13.82  -18.25    3.98          18.68   167.69
F5           6.01    7.64    5.87          33.23  -13.97    2.02          14.11   171.76
F6           4.90    7.68    4.97          33.31  -27.33    6.62          28.12   166.39
F7           4.11    8.09    4.15          34.18  -41.64   12.68          43.53   163.07
F8           3.37    8.04    3.44          34.06  -52.35   16.99          55.04   162.01
F9          35.97   39.59   33.94          69.18   -7.21   -1.88           7.46   194.60
F10         34.33   39.56   32.80          69.16  -12.67   -0.23          12.68   181.05
F11         32.74   39.66   31.47          69.23  -18.54    1.91          18.63   174.13
F12         27.16   39.34   27.26          69.00  -38.61    8.29          39.48   167.89
F13         38.06   49.09   63.14          75.50  -27.61  -25.16          37.36   222.34
F14         51.69   39.49   58.41          69.11   39.33  -31.51          50.39   321.30
F15         66.97   72.32   25.86          88.13   -6.00   43.69          44.09   97.81
F16         19.86   20.74   18.55          52.67   -0.73   -3.21           3.29   257.03
F17         42.20   33.97   20.21          64.94   30.74   14.43          33.97   25.14
F18         30.06   42.09   23.22          70.92  -35.66   18.82          40.31   152.18
F19         26.00   24.41   48.64          56.49   10.55  -42.70          43.98   283.88
F20         24.50   23.79   12.22          55.88    6.90   18.13          19.40   69.14
F21         32.37   29.64   11.16          61.34   14.15   30.67          33.78   65.23
F22         36.54   34.40   16.17          65.28   11.50   23.97          26.59   64.38
G1           2.05    2.65    2.68          18.57  -10.46   -4.21          11.29   201.90
G2           1.73    2.72    2.88          18.90  -19.54   -5.20          20.22   194.88
G3           1.81    3.21    3.52          20.87  -25.90   -6.36          26.66   193.80
G4           1.59    2.73    3.00          18.91  -23.27   -6.03          24.05   194.54
G5           8.18   10.07   10.07          37.97  -12.89   -6.17          14.30   205.58
G6           6.99   10.11   10.44          38.03  -24.45   -7.22          25.49   196.46
G7           6.04   10.68   11.30          39.03  -38.53   -8.20          39.40   192.01
G8           5.10   10.60   12.20          38.89  -48.91  -11.10          50.16   192.79
G9          36.23   39.84   37.08          69.35   -7.13   -6.03           9.34   220.18
G10         34.14   39.68   37.94          69.24  -13.67   -7.39          15.54   208.40
G11         32.64   39.86   39.32          69.38  -19.51   -9.02          21.50   204.82
G12         27.73   39.63   41.13          69.21  -37.22  -11.66          39.00   197.40
G13         31.39   42.39   58.95          71.14  -31.63  -28.56          42.61   222.07
G14         46.78   33.15   54.03          64.28   46.83  -35.25          58.61   323.03
G15         65.15   70.02   19.88          87.00   -5.23   53.14          53.41   95.63
G16         13.60   14.29   12.78          44.64   -1.12   -2.86           3.08   248.50
G17         36.98   27.93   14.31          59.83   36.47   19.22          41.23   27.78
G18         23.42   35.18   17.31          65.88  -41.00   22.34          46.69   151.41
G19         19.49   17.49   42.49          48.87   13.82  -48.46          50.39   285.92
G20         34.02   33.05   15.09          64.20    7.61   24.76          25.90   72.94
G21         33.03   31.92    9.60          63.28    8.13   39.06          39.90   78.25
G22         45.34   42.88    2.91          71.47   11.79   85.28          86.09   82.13
H1           2.22    2.66    3.27          18.60   -6.84   -8.54          10.93   231.32
H2           2.02    2.69    4.36          18.75  -11.82  -15.16          19.22   232.07
H3           2.13    3.08    6.11          20.34  -16.32  -21.33          26.86   232.57
H4           1.90    2.71    5.26          18.87  -15.39  -19.75          25.04   232.10
H5           8.81   10.16   12.10          38.14   -8.18  -12.11          14.62   235.96
H6           7.89   10.05   15.45          37.94  -15.42  -21.41          26.39   234.24
H7           7.66   10.86   20.67          39.35  -23.64  -30.66          38.71   232.35
H8           7.17   11.05   25.80          39.65  -29.64  -39.80          49.62   233.32
H9          36.43   39.58   40.72          69.17   -5.64  -11.20          12.53   243.26
H10         35.48   39.66   44.24          69.22   -9.09  -15.54          18.00   239.69
H11         34.23   39.68   48.83          69.25  -13.38  -20.95          24.85   237.44
H12         31.90   40.03   58.28          69.49  -22.68  -30.72          38.18   233.57
H13         26.23   36.91   55.19          67.20  -34.66  -31.45          46.80   222.22
H14         41.97   27.38   49.45          59.32   54.28  -38.76          66.70   324.47
H15         63.45   67.66   14.88          85.84   -4.08   62.61          62.74   93.73
H16          9.24    9.67    8.73          37.24   -0.73   -2.78           2.88   255.47
H17         32.30   22.70    9.88          54.75   42.30   23.44          48.36   29.00
H18         18.29   29.46   12.79          61.19  -45.46   25.65          52.20   150.57
H19         14.56   12.23   36.89          41.58   18.06  -53.66          56.62   288.61
H20         38.91   39.82   15.78          69.34    1.66   31.92          31.97   87.03
H21         29.37   30.69   20.99          62.25   -0.83    8.19           8.23   95.78
H22         33.16   36.59   11.48          66.97   -7.34   39.41          40.09   100.55
I1           3.83    3.95    5.77          23.48    0.41  -14.32          14.34   271.64
I2           3.92    3.97    8.85          23.58    1.41  -26.76          26.80   273.01
I3           4.09    3.97   12.73          23.58    3.84  -39.00          39.20   275.62
I4           4.50    4.08   19.43          23.94    7.91  -54.64          55.21   278.24
I5          12.90   13.40   15.70          43.36   -0.14  -12.68          12.69   269.33
I6          13.17   13.37   20.56          43.31    1.85  -23.59          23.67   274.45
I7          13.34   13.40   25.55          43.35    2.79  -32.98          33.11   274.84
I8          13.93   13.73   38.08          43.84    4.46  -51.39          51.59   274.96
I9          38.43   39.84   40.67          69.36    0.04  -10.82          10.82   270.20
I10         38.72   39.97   44.53          69.44    0.58  -15.52          15.53   272.16
I11         39.02   40.15   49.05          69.57    0.95  -20.61          20.63   272.64
I12         39.38   40.35   59.64          69.72    1.50  -31.69          31.73   272.70
I13         21.41   31.45   50.86          62.89  -37.25  -34.19          50.56   222.54
I14         37.64   22.57   45.00          54.62   61.00  -41.64          73.85   325.69
I15         61.69   65.16   10.92          84.57   -2.64   71.47          71.53   92.12
I16          5.65    5.96    5.40          29.30   -1.04   -2.51           2.73   247.87
I17         28.46   18.63    6.35          50.25   47.35   29.17          55.61   31.63
I18         13.70   23.98    8.96          56.08  -49.77   28.82          57.51   149.93
I19         10.48    8.07   31.41          34.13   22.54  -58.53          62.73   291.06
I20         39.47   43.68   16.14          72.02   -8.13   35.66          36.58   102.84
I21          9.95   13.86    3.50          44.03  -24.30   33.77          41.59   125.74
I22         26.05   34.30   17.44          65.19  -26.77   20.89          33.96   142.05
J1           1.89    1.68    3.05          13.71    6.69  -15.40          16.79   293.48
J2           2.21    1.69    5.05          13.71   13.84  -27.59          30.86   296.63
J3           2.75    1.77    8.51          14.27   22.35  -41.60          47.22   298.24
J4           3.79    1.79   17.62          14.31   39.38  -67.30          77.97   300.34
J5          10.51   10.19   12.64          38.16    5.32  -13.60          14.61   291.36
J6          11.39   10.27   16.53          38.33   11.16  -23.35          25.88   295.56
J7          12.09   10.14   21.13          38.08   17.13  -33.75          37.86   296.89
J8          14.02    9.94   34.50          37.72   31.34  -56.91          64.97   298.84
J9          39.35   39.92   40.78          69.41    2.73  -10.86          11.20   284.11
J10         40.22   39.92   44.38          69.41    5.44  -15.39          16.31   289.46
J11         41.22   39.81   48.97          69.34    8.87  -20.94          22.73   292.94
J12         43.61   40.14   59.69          69.57   14.96  -32.00          35.33   295.05
J13         17.24   26.41   46.45          58.43  -39.14  -36.81          53.74   223.24
J14         33.53   18.38   40.63          49.96   67.28  -44.19          80.49   326.70
J15         59.91   62.39    7.55          83.12   -0.59   80.75          80.75   90.42
J16          3.24    3.42    3.14          21.67   -1.09   -2.32           2.58   244.98
J17         24.80   15.03    3.72          45.66   52.14   35.15          62.89   33.98
J18          9.89   19.01    5.96          50.69  -53.34   31.66          62.03   149.31
J19          7.42    5.04   26.36          26.87   27.94  -62.79          68.73   293.98
J20         27.73   36.45   22.63          66.87  -27.13   12.93          30.05   154.51
J21          4.07    7.62    1.81          33.17  -37.81   28.86          47.57   142.66
J22          1.23    1.93    1.04          15.10  -16.94    7.07          18.36   157.33
K1           4.64    3.88    5.21          23.25   12.73  -11.97          17.48   316.76
K2           6.06    4.09    7.49          23.95   26.56  -20.98          33.84   321.71
K3           7.37    4.12   10.38          24.04   39.62  -31.18          50.42   321.79
K4           8.01    4.17   11.82          24.24   44.68  -35.26          56.91   321.72
K5          14.69   13.34   15.30          43.27   11.54  -11.84          16.53   314.27
K6          16.91   13.46   19.20          43.44   23.68  -20.52          31.34   319.09
K7          19.06   13.44   23.17          43.41   35.20  -28.53          45.31   320.98
K8          26.25   14.05   36.98          44.31   64.08  -49.06          80.70   322.56
K9          40.56   39.74   40.45          69.28    7.02  -10.66          12.77   303.36
K10         43.05   40.08   43.97          69.53   13.51  -14.68          19.95   312.63
K11         44.82   39.59   47.86          69.17   20.18  -19.92          28.36   315.35
K12         50.33   39.66   58.71          69.22   35.23  -31.61          47.33   318.10
K13         13.66   21.70   41.79          53.71  -39.77  -39.22          55.87   224.60
K14         29.46   14.71   35.89          45.23   72.81  -45.95          86.10   327.75
K15         57.87   59.22    5.14          81.41    1.89   88.69          88.71   88.78
K16          1.65    1.75    1.63          14.11   -1.12   -2.10           2.38   242.29
K17         21.43   11.97    2.00          41.16   56.46   40.71          69.61   35.80
K18          6.80   14.46    3.83          44.88  -55.82   33.12          64.91   149.32
K19          5.23    3.00   21.56          20.02   34.07  -65.75          74.05   297.39
K20          2.02    2.75    1.91          19.03  -13.04    3.42          13.48   165.33
K21          1.17    1.63    1.48          13.36  -11.98   -1.76          12.11   188.36
K22          1.47    1.96    2.86          15.31  -10.90  -11.19          15.63   225.73
L1           3.30    2.73    2.84          18.93   11.89   -4.79          12.82   338.07
L2           4.13    2.71    2.98          18.81   24.94   -6.08          25.67   346.32
L3           5.85    3.42    4.00          21.66   34.01   -7.93          34.92   346.88
L4           4.29    2.66    3.04          18.60   28.10   -6.86          28.93   346.29
L5          12.04   10.30   10.45          38.37   15.51   -6.70          16.89   336.65
L6          15.01   10.80   11.34          39.23   30.90   -7.96          31.91   345.56
L7          18.15   10.98   12.11          39.53   47.15   -9.75          48.15   348.32
L8          21.07   10.29   13.06          38.37   66.82  -14.43          68.36   347.82
L9          40.97   39.81   37.53          69.34    8.07   -6.67          10.48   320.44
L10         43.11   39.79   38.56          69.31   14.59   -8.09          16.68   330.97
L11         45.75   40.03   39.97          69.49   21.48   -9.66          23.56   335.77
L12         49.37   39.84   41.72          69.36   32.06  -12.16          34.28   339.23
L13         10.58   17.12   36.83          48.41  -38.28  -41.77          56.66   227.50
L14         25.20   11.46   30.73          40.33   76.88  -46.76          89.98   328.70
L15         55.16   55.00    3.25          79.04    5.41   95.80          95.95   86.77
L16          0.72    0.77    0.73           6.90   -0.71   -1.92           2.07   250.72
L17         18.09    9.35    0.92          36.65   59.33   46.23          75.21   37.92
L18          4.37   10.22    2.21          38.22  -55.59   33.66          64.99   148.82
L19          3.64    1.64   16.98          13.46   40.78  -67.31          78.69   301.21
L20          0.62    0.69    0.79           6.21   -1.62   -4.07           4.38   248.47
L21          0.80    0.77    0.93           6.91    2.81   -5.34           6.03   297.71
L22          1.69    1.33    1.32          11.48   11.36   -3.01          11.75   345.16
GS0         79.25   83.39   77.20          93.19   -2.27   -7.36           7.70   252.85
GS1         66.65   69.63   63.63          86.81   -1.07   -6.13           6.22   260.11
GS2         59.06   61.48   56.02          82.64   -0.54   -5.72           5.74   264.60
GS3         52.11   54.17   49.28          78.56   -0.35   -5.38           5.40   266.28
GS4         46.05   47.91   43.87          74.77   -0.42   -5.53           5.54   265.69
GS5         39.84   41.56   37.78          70.57   -0.73   -4.88           4.94   261.47
GS6         33.91   35.39   31.79          66.06   -0.75   -4.05           4.13   259.51
GS7         28.97   30.25   27.47          61.87   -0.75   -4.35           4.42   260.23
GS8         24.47   25.61   23.15          57.66   -0.97   -3.92           4.03   256.13
GS9         20.84   21.88   19.45          53.90   -1.26   -3.02           3.29   247.12
GS10        16.97   17.87   15.98          49.33   -1.44   -3.05           3.38   244.62
GS11        14.07   14.84   13.32          45.41   -1.46   -3.02           3.36   244.09
GS12        11.43   12.09   10.94          41.36   -1.61   -3.09           3.49   242.39
GS13         9.20    9.66    8.63          37.23   -1.02   -2.46           2.67   247.43
GS14         7.34    7.71    6.94          33.36   -0.86   -2.50           2.66   250.78
GS15         5.45    5.74    5.21          28.77   -1.09   -2.48           2.70   246.43
GS16         4.23    4.45    4.01          25.09   -0.79   -2.12           2.27   248.93
GS17         3.15    3.33    3.08          21.31   -1.12   -2.49           2.73   245.64
GS18         2.23    2.38    2.19          17.36   -1.19   -2.13           2.45   240.51
GS19         1.56    1.66    1.53          13.61   -1.14   -1.85           2.17   238.39
GS20         1.04    1.11    1.02           9.84   -1.18   -1.71           2.09   235.89
GS21         0.82    0.88    0.82           7.96   -0.95   -1.66           1.91   240.01
GS22         0.62    0.66    0.71           5.91   -0.37   -3.12           3.14   263.23
GS23         0.54    0.57    0.68           5.17   -0.65   -3.93           3.99   260.63
END_DATA
