IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (Illuminant C, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "January 07, 2002"
PROD_DATE "2001:12"
SERIAL "DIN A4  R012020"
MATERIAL "Kodak Professional Digital 3 - Non-Glossy"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
B6          13.46   10.32    4.97          38.41   24.86   15.43          29.27   31.84
B7          16.04   10.53    2.90          38.77   38.90   28.91          48.47   36.63
B8          18.85   10.26    1.29          38.31   56.12   43.62          71.07   37.86
B9          40.45   39.58   40.29          69.16    7.20  -10.65          12.86   304.05
B10         42.02   39.47   36.31          69.09   12.30   -5.40          13.44   336.30
B11         43.73   39.57   32.61          69.16   17.08    0.07          17.08   180.24
B12         45.86   39.39   27.13          69.03   23.74    8.58          25.24   19.86
B13         72.72   77.13   96.39          90.38   -3.41  -27.23          27.44   262.87
B14         75.28   72.79   95.23          88.34   10.63  -29.88          31.71   289.58
B15         77.19   80.94   79.91          92.10   -1.70  -11.48          11.61   261.57
B16         64.57   66.14   76.18          85.07    1.79  -20.48          20.56   275.01
B17         70.56   69.35   76.02          86.67    7.99  -17.56          19.30   294.45
B18         68.69   74.63   77.66          89.22   -6.99  -14.57          16.16   244.38
B19         67.00   66.81   92.23          85.42    5.77  -32.71          33.22   280.00
B20          2.35    1.73    0.97          13.98   15.71    6.23          16.90   21.64
B21          7.24    4.36    1.09          24.81   34.96   23.08          41.89   33.44
B22         27.10   23.17   15.52          55.25   20.41    8.24          22.02   21.99
C1           4.00    3.97    2.85          23.59    2.43    3.14           3.98   52.36
C2           4.13    3.88    1.75          23.29    5.58   12.41          13.61   65.79
C3           4.85    4.38    1.41          24.89    8.36   18.98          20.75   66.24
C4           4.24    3.88    1.37          23.27    7.19   16.75          18.23   66.78
C5          22.16   21.41   14.16          53.39    7.17    8.50          11.12   49.87
C6          23.86   21.51    6.99          53.49   14.36   31.96          35.05   65.81
C7          26.05   21.87    3.02          53.89   21.98   54.09          58.38   67.89
C8          26.47   21.67    2.33          53.67   24.62   59.20          64.12   67.41
C9          47.16   47.27   44.35          74.37    4.42   -6.79           8.11   303.05
C10         48.11   47.35   36.61          74.41    6.88    3.34           7.65   25.88
C11         48.73   46.95   29.21          74.16    9.68   13.97          16.99   55.29
C12         50.32   47.20   22.13          74.33   13.22   26.75          29.84   63.70
C13         64.28   70.50   93.43          87.25   -8.22  -30.43          31.53   254.88
C14         69.76   63.56   91.08          83.74   18.97  -34.73          39.58   298.64
C15         74.37   79.02   66.27          91.24   -3.73   -1.00           3.86   195.00
C16         50.58   51.67   59.30          77.08    2.02  -18.65          18.76   276.19
C17         62.52   58.84   60.71          81.20   13.79  -12.95          18.91   316.80
C18         58.00   66.42   63.41          85.21  -14.18   -8.68          16.63   211.49
C19         55.44   54.06   85.55          78.50    8.45  -39.48          40.38   282.07
C20          1.42    1.26    0.95          11.02    6.29    1.30           6.43   11.72
C21         20.97   15.97    5.85          46.94   29.40   25.73          39.07   41.20
C22         33.34   30.47   22.84          62.06   14.52    4.22          15.13   16.20
D1           3.67    3.95    2.88          23.49   -2.05    2.74           3.42   126.68
D2           3.54    3.88    1.73          23.25   -2.93   12.54          12.88   103.13
D3           4.31    4.69    1.54          25.83   -2.86   19.07          19.29   98.53
D4           3.58    3.90    1.45          23.33   -2.76   15.87          16.11   99.85
D5          25.15   26.57   18.15          58.58   -1.99    7.87           8.11   104.26
D6          24.62   26.55    9.75          58.56   -4.18   30.43          30.72   97.81
D7          24.38   26.78    4.54          58.77   -6.13   52.87          53.23   96.62
D8          24.43   26.58    2.94          58.58   -5.11   62.81          63.02   94.64
D9          54.27   56.05   53.52          79.64    0.59   -8.21           8.23   274.13
D10         53.33   55.89   41.50          79.56   -1.44    5.70           5.88   104.25
D11         52.84   55.87   33.21          79.54   -2.66   17.07          17.27   98.84
D12         51.22   55.94    7.49          79.58   -7.04   74.90          75.22   95.37
D13         55.61   63.27   89.42          83.58  -13.05  -33.73          36.17   248.86
D14         64.41   55.19   86.64          79.15   26.95  -39.22          47.59   304.51
D15         71.12   76.39   52.38          90.04   -5.32   10.95          12.17   115.94
D16         37.86   38.74   44.20          68.56    1.62  -16.63          16.70   275.53
D17         54.87   49.38   46.53          75.69   19.13   -7.14          20.43   339.51
D18         47.69   57.90   49.74          80.69  -21.34   -2.25          21.45   186.02
D19         45.08   42.99   78.49          71.55   10.71  -45.74          46.98   283.17
D20         12.53    9.70    3.34          37.30   23.50   23.22          33.02   44.66
D21         20.24   19.74   15.25          51.54    6.05    2.53           6.57   22.75
D22         36.69   35.11   26.39          65.83    9.59    4.32          10.52   24.20
E1           3.38    3.93    2.92          23.43   -6.40    2.33           6.81   160.01
E2           3.02    3.91    1.82          23.35  -11.94   11.76          16.76   135.44
E3           3.51    4.76    1.65          26.04  -15.52   18.22          23.93   130.41
E4           2.88    3.84    1.53          23.12  -13.32   14.46          19.66   132.68
E5          11.59   13.32    9.78          43.25   -8.62    3.92           9.48   155.52
E6          10.45   13.44    5.88          43.42  -17.72   19.51          26.36   132.26
E7           9.54   13.75    3.18          43.88  -26.91   35.70          44.70   127.00
E8           9.14   13.65    2.54          43.73  -29.42   40.35          49.94   126.10
E9          36.97   39.73   37.78          69.28   -4.34   -7.12           8.34   238.63
E10         35.27   39.49   31.77          69.10   -9.26    1.25           9.34   172.36
E11         33.92   39.47   25.96          69.09  -13.84   10.69          17.48   142.31
E12         29.01   39.48   11.73          69.10  -31.77   42.34          52.94   126.88
E13         47.70   56.27   85.19          79.77  -17.34  -37.02          40.88   244.89
E14         58.73   46.91   81.38          74.13   35.35  -43.67          56.19   308.99
E15         68.80   74.31   42.36          89.07   -6.11   21.02          21.89   106.19
E16         28.30   29.09   33.13          60.86    0.97  -15.00          15.04   273.67
E17         48.06   41.08   35.66          70.23   24.77   -2.54          24.91   354.14
E18         38.48   49.66   38.66          75.86  -27.83    3.05          28.00   173.74
E19         35.88   33.06   70.62          64.20   13.91  -51.59          53.44   285.09
E20         21.87   15.56    1.86          46.39   35.98   51.14          62.53   54.88
E21         15.38   13.07    3.26          42.88   17.38   33.41          37.66   62.50
E22         27.72   24.35   10.31          56.44   17.75   24.93          30.61   54.55
F1           1.35    1.74    1.69          14.07   -9.28   -2.77           9.69   196.68
F2           1.08    1.74    1.37          14.06  -17.63    0.88          17.66   177.16
F3           1.31    2.31    1.69          17.04  -23.18    2.19          23.29   174.61
F4           1.05    1.71    1.34          13.89  -17.91    0.88          17.93   177.20
F5           6.12    7.67    7.32          33.29  -13.05   -4.21          13.71   197.90
F6           5.02    7.73    6.13          33.41  -26.29    1.10          26.31   177.62
F7           4.21    8.13    5.05          34.23  -40.51    7.80          41.26   169.10
F8           3.45    8.04    4.11          34.08  -51.17   12.76          52.73   166.00
F9          36.73   39.61   43.19          69.19   -4.76  -14.31          15.07   251.58
F10         35.09   39.59   41.61          69.18  -10.18  -12.33          15.98   230.46
F11         33.48   39.70   39.88          69.25  -16.02   -9.96          18.87   211.88
F12         27.93   39.43   34.20          69.06  -35.84   -2.46          35.93   183.92
F13         40.58   49.59   80.44          75.81  -21.06  -39.99          45.20   242.23
F14         53.25   39.40   75.97          69.04   43.69  -47.94          64.85   312.34
F15         66.24   71.74   32.33          87.84   -6.42   32.70          33.31   101.10
F16         20.20   20.75   23.53          52.67    0.97  -13.23          13.27   274.18
F17         41.59   33.52   25.72          64.58   30.45    3.34          30.63    6.25
F18         30.51   42.06   29.00          70.91  -33.91    8.70          35.00   165.61
F19         28.05   24.75   62.79          56.83   17.37  -57.01          59.59   286.94
F20         24.27   23.59   15.34          55.68    6.68    9.46          11.58   54.78
F21         31.73   29.27   13.94          61.02   13.19   22.24          25.86   59.33
F22         36.05   34.05   20.31          65.00   11.05   14.32          18.09   52.34
G1           2.12    2.68    3.34          18.71   -9.59   -8.79          13.02   222.51
G2           1.82    2.76    3.56          19.06  -18.10   -9.70          20.54   208.19
G3           1.94    3.26    4.37          21.07  -24.01  -11.16          26.48   204.92
G4           1.69    2.77    3.71          19.10  -21.60  -10.57          24.05   206.10
G5           8.46   10.14   12.68          38.09  -10.96  -13.86          17.66   231.68
G6           7.34   10.21   13.09          38.21  -21.82  -14.79          26.36   214.12
G7           6.47   10.81   14.09          39.26  -35.03  -15.70          38.39   204.14
G8           5.56   10.75   15.15          39.15  -44.50  -18.57          48.22   202.66
G9          37.19   39.93   47.26          69.41   -4.22  -18.82          19.29   257.36
G10         35.25   39.83   48.29          69.35  -10.32  -20.14          22.63   242.86
G11         33.91   40.06   49.99          69.52  -15.71  -21.78          26.86   234.21
G12         29.24   39.93   52.01          69.42  -32.23  -24.20          40.31   216.90
G13         33.82   42.92   74.96          71.50  -24.56  -42.83          49.36   240.18
G14         48.23   33.03   70.48          64.19   51.27  -51.51          72.68   314.87
G15         64.13   69.36   24.66          86.69   -6.16   43.32          43.76   98.09
G16         13.83   14.31   16.16          44.67    0.21  -11.52          11.53   271.04
G17         36.17   27.45   18.16          59.39   35.65    9.23          36.83   14.53
G18         23.74   35.16   21.48          65.88  -39.52   13.47          41.74   161.18
G19         21.39   17.83   54.91          49.28   21.24  -62.03          65.57   288.90
G20         33.58   32.75   18.93          63.95    7.17   15.42          17.00   65.07
G21         32.32   31.55   11.88          62.97    6.95   31.33          32.08   77.50
G22         43.87   42.15    3.32          70.97    9.66   81.43          82.00   83.23
H1           2.31    2.70    4.10          18.77   -5.63  -13.60          14.72   247.54
H2           2.19    2.75    5.48          19.02   -9.40  -20.63          22.68   245.51
H3           2.38    3.17    7.69          20.69  -12.58  -27.42          30.16   245.36
H4           2.11    2.79    6.61          19.22  -12.04  -25.48          28.18   244.72
H5           9.19   10.26   15.32          38.31   -5.71  -20.47          21.25   254.41
H6           8.50   10.22   19.59          38.22  -11.21  -30.34          32.36   249.73
H7           8.56   11.13   26.20          39.78  -17.37  -40.25          43.84   246.65
H8           8.32   11.40   32.58          40.24  -21.43  -49.76          54.18   246.70
H9          37.60   39.70   51.96          69.25   -2.21  -24.42          24.52   264.84
H10         36.91   39.87   56.54          69.38   -4.94  -29.12          29.53   260.38
H11         36.00   39.98   62.40          69.45   -8.31  -34.88          35.85   256.60
H12         34.29   40.53   74.32          69.84  -15.77  -45.13          47.81   250.74
H13         28.56   37.46   70.04          67.63  -27.12  -45.19          52.70   239.03
H14         43.34   27.24   64.78          59.20   58.88  -54.84          80.47   317.03
H15         62.20   66.97   18.27          85.49   -5.42   53.99          54.26   95.73
H16          9.39    9.71   11.02          37.30    0.31  -10.33          10.34   271.74
H17         31.36   22.20   12.50          54.24   41.10   14.50          43.59   19.42
H18         18.50   29.43   15.72          61.16  -44.23   17.98          47.74   157.88
H19         16.30   12.56   47.73          42.08   26.08  -66.50          71.44   291.41
H20         38.41   39.48   19.70          69.09    1.12   22.63          22.66   87.16
H21         29.54   30.59   26.55          62.16    0.15   -2.29           2.30   273.50
H22         32.68   36.29   14.18          66.74   -8.04   31.48          32.49   104.33
I1           4.00    4.00    7.30          23.66    2.21  -20.73          20.86   276.07
I2           4.29    4.07   11.28          23.90    5.11  -34.23          34.62   278.49
I3           4.68    4.13   16.28          24.09    9.63  -47.32          48.29   281.50
I4           5.46    4.33   24.89          24.74   16.48  -63.89          65.98   284.47
I5          13.34   13.48   19.98          43.47    2.22  -22.11          22.23   275.74
I6          13.90   13.50   26.32          43.51    5.64  -34.03          34.49   279.41
I7          14.39   13.62   32.78          43.67    7.99  -44.14          44.86   280.25
I8          15.73   14.11   48.98          44.39   12.89  -63.95          65.24   281.38
I9          39.49   39.91   52.00          69.41    3.20  -24.22          24.43   277.51
I10         40.03   40.09   57.03          69.53    4.32  -29.35          29.67   278.37
I11         40.58   40.31   62.89          69.69    5.31  -34.95          35.34   278.65
I12         41.64   40.69   76.73          69.96    7.42  -47.01          47.59   278.97
I13         23.61   32.01   64.43          63.35  -29.25  -47.35          55.66   238.30
I14         38.91   22.42   59.18          54.47   65.71  -57.51          87.32   318.81
I15         60.27   64.41   13.25          84.18   -4.29   64.04          64.18   93.84
I16          5.73    5.97    6.79          29.34   -0.29   -8.82           8.83   268.14
I17         27.44   18.14    8.00          49.66   45.86   21.34          50.58   24.95
I18         13.83   23.95   10.89          56.03  -48.75   22.38          53.64   155.34
I19         12.03    8.37   40.72          34.73   31.15  -70.58          77.14   293.81
I20         39.06   43.37   20.08          71.81   -8.50   26.54          27.86   107.75
I21          9.84   13.79    4.17          43.92  -24.66   29.32          38.31   130.07
I22         26.26   34.26   21.73          65.16  -25.78   11.75          28.34   155.50
J1           1.98    1.71    3.88          13.90    8.13  -20.61          22.16   291.54
J2           2.41    1.73    6.49          14.03   16.80  -33.89          37.84   296.37
J3           3.17    1.87   11.02          14.77   27.41  -49.15          56.27   299.14
J4           4.75    1.97   22.94          15.32   48.38  -76.53          90.53   302.30
J5          10.85   10.25   16.11          38.28    7.41  -22.44          23.63   288.26
J6          11.94   10.37   21.20          38.48   14.30  -33.22          36.16   293.28
J7          12.90   10.28   27.27          38.33   21.58  -44.60          49.55   295.82
J8          15.66   10.21   44.92          38.22   39.16  -69.84          80.06   299.28
J9          40.42   39.99   52.22          69.46    5.82  -24.36          25.04   283.44
J10         41.48   40.02   56.92          69.48    8.96  -29.33          30.67   287.00
J11         42.72   39.95   62.98          69.44   12.92  -35.47          37.75   290.01
J12         45.67   40.34   77.09          69.72   20.31  -47.73          51.88   293.05
J13         19.27   26.97   58.72          58.95  -30.73  -49.34          58.13   238.09
J14         34.68   18.22   53.61          49.75   72.15  -59.84          93.73   320.33
J15         58.37   61.61    9.00          82.70   -2.50   74.64          74.69   91.91
J16          3.28    3.44    3.93          21.73   -0.66   -7.42           7.46   264.94
J17         23.75   14.55    4.67          45.00   50.50   28.40          57.95   29.35
J18          9.97   18.95    7.14          50.64  -52.52   26.45          58.80   153.27
J19          8.78    5.31   34.19          27.60   36.97  -73.92          82.64   296.57
J20         28.19   36.45   28.40          66.87  -25.38    2.72          25.52   173.87
J21          4.06    7.59    2.11          33.11  -37.67   25.74          45.64   145.66
J22          1.25    1.94    1.26          15.13  -16.82    4.04          17.29   166.49
K1           4.75    3.89    6.63          23.30   13.80  -18.56          23.13   306.64
K2           6.25    4.10    9.66          23.99   28.38  -28.90          40.51   314.49
K3           7.69    4.11   13.54          24.02   42.66  -40.49          58.81   316.49
K4           8.39    4.17   15.50          24.22   48.23  -45.16          66.08   316.88
K5          15.00   13.34   19.53          43.28   13.37  -21.50          25.32   301.87
K6          17.39   13.47   24.73          43.46   26.16  -31.32          40.81   309.87
K7          19.68   13.43   30.06          43.39   38.37  -40.41          55.73   313.51
K8          27.50   13.98   48.79          44.20   69.65  -64.07          94.64   317.39
K9          41.52   39.76   51.88          69.30    9.89  -24.27          26.21   292.18
K10         44.09   40.07   56.50          69.52   16.61  -28.84          33.27   299.94
K11         46.02   39.58   61.68          69.16   23.65  -34.67          41.96   304.29
K12         51.99   39.61   76.27          69.19   39.75  -47.93          62.27   309.67
K13         15.50   22.23   52.71          54.27  -30.98  -51.10          59.75   238.77
K14         30.50   14.54   47.57          44.98   77.81  -61.31          99.06   321.76
K15         56.27   58.42    5.98          80.97   -0.16   83.81          83.81   90.11
K16          1.67    1.76    2.03          14.18   -0.87   -6.12           6.18   261.98
K17         20.41   11.50    2.50          40.42   54.80   34.99          65.02   32.56
K18          6.85   14.41    4.50          44.82  -55.05   28.98          62.21   152.24
K19          6.39    3.23   28.04          20.92   43.23  -75.90          87.34   299.66
K20          2.06    2.78    2.35          19.13  -12.72   -0.53          12.73   182.40
K21          1.19    1.65    1.84          13.50  -11.43   -5.38          12.63   205.19
K22          1.57    2.01    3.56          15.54   -9.27  -15.81          18.32   239.61
L1           3.32    2.72    3.58          18.91   12.14  -10.07          15.78   320.35
L2           4.11    2.67    3.81          18.65   25.18  -11.98          27.89   334.55
L3           5.79    3.36    5.15          21.43   34.42  -14.81          37.48   336.73
L4           4.27    2.62    3.89          18.43   28.38  -12.91          31.19   335.55
L5          12.15   10.27   13.33          38.31   16.49  -15.28          22.48   317.20
L6          15.02   10.70   14.57          39.07   31.67  -17.24          36.06   331.44
L7          18.02   10.77   15.70          39.19   47.94  -19.87          51.90   337.49
L8          20.81    9.97   17.15          37.79   68.06  -25.72          72.75   339.30
L9          41.71   39.78   48.03          69.31   10.44  -19.91          22.48   297.68
L10         43.79   39.68   49.45          69.23   16.92  -21.65          27.48   308.02
L11         46.35   39.87   51.31          69.38   23.68  -23.50          33.36   315.22
L12         49.88   39.59   53.80          69.17   34.23  -26.56          43.33   322.19
L13         12.19   17.61   46.37          49.02  -29.29  -52.94          60.51   241.05
L14         26.12   11.27   40.95          40.02   82.02  -61.75          102.67   323.02
L15         53.54   54.21    3.69          78.58    3.27   92.14          92.19   87.96
L16          0.72    0.77    0.91           6.96   -0.77   -4.91           4.98   261.24
L17         17.17    8.94    1.13          35.86   57.77   41.57          71.17   35.74
L18          4.38   10.17    2.55          38.14  -54.92   30.56          62.84   150.91
L19          4.58    1.81   22.12          14.46   49.70  -76.44          91.19   303.03
L20          0.64    0.69    0.97           6.29   -1.38   -7.14           7.28   259.13
L21          0.82    0.77    1.17           6.97    3.00   -8.73           9.23   288.95
L22          1.68    1.33    1.66          11.45   11.25   -7.01          13.25   328.07
GS0         81.56   83.74   99.44          93.34    1.60  -24.32          24.38   273.77
GS1         68.47   69.91   81.86          86.94    2.34  -21.96          22.09   276.08
GS2         60.62   61.73   72.03          82.77    2.63  -20.85          21.02   277.17
GS3         53.45   54.39   63.30          78.69    2.60  -19.82          19.99   277.47
GS4         47.25   48.11   56.31          74.89    2.39  -19.36          19.50   277.05
GS5         40.84   41.74   48.43          70.69    1.85  -17.98          18.08   275.88
GS6         34.73   35.54   40.70          66.17    1.56  -16.35          16.43   275.48
GS7         29.67   30.38   35.13          61.98    1.43  -16.00          16.07   275.11
GS8         25.05   25.72   29.56          57.78    1.02  -14.86          14.89   273.92
GS9         21.29   21.98   24.81          54.00    0.48  -13.28          13.29   272.05
GS10        17.34   17.96   20.34          49.45    0.11  -12.57          12.57   270.51
GS11        14.38   14.91   16.94          45.52   -0.03  -11.91          11.91   269.82
GS12        11.63   12.11   13.82          41.39   -0.34  -11.30          11.30   268.28
GS13         9.34    9.68   10.88          37.25    0.02   -9.98           9.98   270.13
GS14         7.45    7.71    8.72          33.38    0.04   -9.41           9.41   270.21
GS15         5.53    5.77    6.55          28.81   -0.36   -8.68           8.69   267.71
GS16         4.29    4.46    5.02          25.14   -0.26   -7.71           7.71   268.05
GS17         3.19    3.34    3.85          21.36   -0.66   -7.56           7.59   265.05
GS18         2.27    2.40    2.73          17.44   -0.91   -6.54           6.60   262.12
GS19         1.58    1.67    1.89          13.68   -0.95   -5.62           5.70   260.44
GS20         1.04    1.12    1.27           9.92   -1.03   -5.00           5.12   258.41
GS21         0.84    0.89    1.02           8.03   -0.79   -4.83           4.89   260.62
GS22         0.64    0.66    0.88           5.96   -0.12   -6.09           6.09   268.95
GS23         0.56    0.58    0.85           5.28   -0.36   -6.81           6.82   266.94
END_DATA
